w,G
0.000000000000000000e+00,3.888812671004533428e+01
1.000000000000000021e-02,7.011661854323058662e+00
2.000000000000000042e-02,7.310542162011437028e+00
2.999999999999999889e-02,6.981672097116036646e+00
4.000000000000000083e-02,6.728346263354112011e+00
5.000000000000000278e-02,6.947268353768194515e+00
5.999999999999999778e-02,6.711767259611892023e+00
7.000000000000000666e-02,6.498273500749143672e+00
8.000000000000000167e-02,6.065002526243959302e+00
8.999999999999999667e-02,5.876552222015241078e+00
1.000000000000000056e-01,3.672557351768011902e+00
1.100000000000000006e-01,5.683183469768444240e+00
1.199999999999999956e-01,4.471178712557767554e+00
1.300000000000000044e-01,1.284476133605792292e+01
1.400000000000000133e-01,5.936391024205989631e+00
1.499999999999999944e-01,6.476215618725594148e+00
1.600000000000000033e-01,6.582476531602692305e+00
1.700000000000000122e-01,5.530004632422739874e+00
1.799999999999999933e-01,5.369934622093359700e+00
1.900000000000000022e-01,2.781382556722855171e+00
2.000000000000000111e-01,5.189576300334023173e+00
2.099999999999999922e-01,6.224896353496967016e+00
2.200000000000000011e-01,2.368007811363534110e+00
2.300000000000000100e-01,6.185013732339334602e+00
2.399999999999999911e-01,6.503798356461199859e+00
2.500000000000000000e-01,9.329130998151191179e+00
2.600000000000000089e-01,5.176463169519762708e+00
2.700000000000000178e-01,6.540712998682676194e+00
2.800000000000000266e-01,1.900357821043661577e+00
2.899999999999999800e-01,6.035621744273809597e+00
2.999999999999999889e-01,2.447750340208438402e+00
3.099999999999999978e-01,5.084299746882992466e+00
3.200000000000000067e-01,4.299649985163187971e+00
3.300000000000000155e-01,6.966016267595286138e+00
3.400000000000000244e-01,1.820560832959199349e+00
3.500000000000000333e-01,9.820793470544778581e-01
3.599999999999999867e-01,8.361195777372353533e+00
3.699999999999999956e-01,4.234764848686339178e+00
3.800000000000000044e-01,6.330424305763417969e+00
3.900000000000000133e-01,9.588318456082603802e+00
4.000000000000000222e-01,4.919493487387843977e+00
4.100000000000000311e-01,8.859069184759968962e-01
4.199999999999999845e-01,4.968832359985890434e+01
4.299999999999999933e-01,6.028477940581341343e+00
4.400000000000000022e-01,1.326003332274647173e+00
4.500000000000000111e-01,4.235742611196289431e+01
4.600000000000000200e-01,6.210598473701831601e+00
4.700000000000000289e-01,6.140696447574241823e+00
4.799999999999999822e-01,1.003934600132951971e+02
4.899999999999999911e-01,6.176886485459929688e+00
5.000000000000000000e-01,6.629432123904915208e+00
5.100000000000000089e-01,7.158219435948269904e+01
5.200000000000000178e-01,5.015624024779441470e+00
5.300000000000000266e-01,6.617298045352061564e+00
5.400000000000000355e-01,3.132517758493773563e+00
5.500000000000000444e-01,1.108835055923490298e+00
5.600000000000000533e-01,6.494897612851213253e+00
5.700000000000000622e-01,4.104778329134793680e+00
5.799999999999999600e-01,3.256416564340317876e+01
5.899999999999999689e-01,6.685384250743688028e+00
5.999999999999999778e-01,6.972516422845074224e+00
6.099999999999999867e-01,5.059252424226108502e+01
6.199999999999999956e-01,6.719311667661401088e+00
6.300000000000000044e-01,6.931182246816186776e+00
6.400000000000000133e-01,5.631102599633045713e+00
6.500000000000000222e-01,6.802311421172173134e+00
6.600000000000000311e-01,6.499565509082390058e+00
6.700000000000000400e-01,5.278314790147836000e+00
6.800000000000000488e-01,5.973078386177263610e+00
6.900000000000000577e-01,2.583454501474071776e+02
