w,G
0.000000000000000000e+00,2.654910877061810837e+00
1.000000000000000021e-02,7.186093871895367080e+00
2.000000000000000042e-02,6.488339194911534769e+00
2.999999999999999889e-02,6.714523505049370122e+00
4.000000000000000083e-02,7.344130477989303962e+00
5.000000000000000278e-02,7.160318376579339450e+00
5.999999999999999778e-02,7.028885633080424356e+00
7.000000000000000666e-02,5.568708644855342449e+00
8.000000000000000167e-02,3.570253847726194252e+00
8.999999999999999667e-02,5.773636768676195352e+00
1.000000000000000056e-01,1.710444753899103176e+01
1.100000000000000006e-01,5.037942654254254471e+00
1.199999999999999956e-01,1.660929403992622788e+00
1.300000000000000044e-01,6.305408863754476734e+00
1.400000000000000133e-01,1.058375590238748920e+01
1.499999999999999944e-01,1.088008128110236150e+01
1.600000000000000033e-01,6.340451020426023376e+00
1.700000000000000122e-01,3.693211836306826257e+00
1.799999999999999933e-01,4.831363684823145377e+00
1.900000000000000022e-01,1.577335101438137599e-01
2.000000000000000111e-01,5.446095820210870020e-01
2.099999999999999922e-01,6.169331645536246356e+00
2.200000000000000011e-01,2.792910603634868316e+00
2.300000000000000100e-01,1.664573180246254669e+00
2.399999999999999911e-01,6.337665795646371336e+00
2.500000000000000000e-01,2.148462658318358365e+01
2.600000000000000089e-01,4.074652225167676001e+00
2.700000000000000178e-01,1.125341460536065874e+01
2.800000000000000266e-01,6.017686218961849853e+00
2.899999999999999800e-01,3.109556383203116070e+01
2.999999999999999889e-01,2.425947491599129435e+01
3.099999999999999978e-01,3.246297994041559054e+00
3.200000000000000067e-01,1.899485793703994174e+00
3.300000000000000155e-01,1.696356141915642723e+01
3.400000000000000244e-01,1.349613861621123290e+00
3.500000000000000333e-01,7.977858538056151971e+00
3.599999999999999867e-01,4.784517624994212071e+00
3.699999999999999956e-01,2.355671627340153407e+01
3.800000000000000044e-01,5.817423374785409607e+00
3.900000000000000133e-01,1.789557097108829709e+00
4.000000000000000222e-01,6.588212986054800879e+00
4.100000000000000311e-01,4.924776058861467298e+00
4.199999999999999845e-01,6.073825888520699934e+00
4.299999999999999933e-01,2.626271699877961296e+01
4.400000000000000022e-01,6.569987456326316533e+00
4.500000000000000111e-01,1.056025509596762824e+01
4.600000000000000200e-01,4.857645785629020274e+00
4.700000000000000289e-01,6.403411573201332807e+00
4.799999999999999822e-01,2.729750952741529346e+00
4.899999999999999911e-01,6.939656695401961173e+00
5.000000000000000000e-01,3.557934061087145494e+00
5.100000000000000089e-01,6.548323661131474793e+00
5.200000000000000178e-01,6.744740621699794936e+00
5.300000000000000266e-01,2.542850833950980327e-01
5.400000000000000355e-01,5.726467734080531002e+00
5.500000000000000444e-01,6.624573998114279938e+00
5.600000000000000533e-01,7.079851927419571922e+00
5.700000000000000622e-01,5.863324182394912931e+00
5.799999999999999600e-01,6.707033286268862859e+00
5.899999999999999689e-01,6.721661400211863757e+00
5.999999999999999778e-01,7.077532064334675965e+00
6.099999999999999867e-01,6.947401971392895170e+00
6.199999999999999956e-01,6.732400906368016358e+00
6.300000000000000044e-01,6.770217676763047088e+00
6.400000000000000133e-01,6.769565975692086290e+00
6.500000000000000222e-01,6.469079888855563176e+00
6.600000000000000311e-01,6.501785809346242395e+00
6.700000000000000400e-01,6.249354100703031989e+00
6.800000000000000488e-01,5.623250566531911687e+00
6.900000000000000577e-01,5.714492736856297661e+00
7.000000000000000666e-01,2.895320349107094682e+00
7.099999999999999645e-01,5.071968266229094802e+00
7.199999999999999734e-01,5.191322533222799684e+00
7.299999999999999822e-01,1.363365647178136086e+01
7.399999999999999911e-01,5.597277367990539432e+00
7.500000000000000000e-01,4.968836738637999240e+00
7.600000000000000089e-01,1.496822116303610528e+01
