w,G
0.000000000000000000e+00,2.562753905224990802e+01
1.000000000000000021e-02,6.959729418623783914e+00
2.000000000000000042e-02,6.620102956061609589e+00
2.999999999999999889e-02,6.854317522810234209e+00
4.000000000000000083e-02,7.132197578333732579e+00
5.000000000000000278e-02,6.918954945556162528e+00
5.999999999999999778e-02,6.619022253655072241e+00
7.000000000000000666e-02,6.346924983051407843e+00
8.000000000000000167e-02,5.273142708386915345e+00
8.999999999999999667e-02,3.102767850017888129e+00
1.000000000000000056e-01,4.502662640985955811e+00
1.100000000000000006e-01,4.504183893267063254e+00
1.199999999999999956e-01,5.077697491608907043e+00
1.300000000000000044e-01,3.473225999921685681e+00
1.400000000000000133e-01,1.654361417893368102e+00
1.499999999999999944e-01,5.703118304966472429e+00
1.600000000000000033e-01,1.076038121340536335e+00
1.700000000000000122e-01,6.340022576693431056e+00
1.799999999999999933e-01,6.634039038258137566e+00
1.900000000000000022e-01,1.216069302034381128e+00
2.000000000000000111e-01,6.170200615584220394e+00
2.099999999999999922e-01,6.377528476539436220e+00
2.200000000000000011e-01,1.401874861824077279e+00
2.300000000000000100e-01,3.232593750497858132e+00
2.399999999999999911e-01,5.645416087673713612e+00
2.500000000000000000e-01,2.418846018282013510e+00
2.600000000000000089e-01,2.050151904439412309e+00
2.700000000000000178e-01,3.780475063099718369e+00
2.800000000000000266e-01,9.202463543547838576e-01
2.899999999999999800e-01,5.337840888257543881e+00
2.999999999999999889e-01,5.388307433636906119e+00
3.099999999999999978e-01,2.373158490603681781e+00
3.200000000000000067e-01,2.646193909122112942e+01
3.300000000000000155e-01,5.489125563883414216e+00
3.400000000000000244e-01,3.964166403397029192e-01
3.500000000000000333e-01,5.182197165455253440e+01
3.599999999999999867e-01,1.358711293004354559e+02
3.699999999999999956e-01,4.525263166610503873e+00
3.800000000000000044e-01,4.868913588729956388e+01
3.900000000000000133e-01,4.564825862605826678e+00
4.000000000000000222e-01,4.795798076236915009e+00
4.100000000000000311e-01,2.492554265473597486e+00
4.199999999999999845e-01,2.510325074055182171e+01
4.299999999999999933e-01,3.333825572318652952e+00
4.400000000000000022e-01,2.317663306258556766e+00
4.500000000000000111e-01,3.532798896090390173e+01
4.600000000000000200e-01,4.578749489519032068e+01
4.700000000000000289e-01,4.464490667357426901e+01
4.799999999999999822e-01,8.510258164107938228e+00
4.899999999999999911e-01,5.212370553540926821e+00
5.000000000000000000e-01,6.616165062317575618e+00
5.100000000000000089e-01,1.664024073047485786e+01
5.200000000000000178e-01,4.001477976210411924e+01
5.300000000000000266e-01,1.429549993094909510e+01
5.400000000000000355e-01,6.331513231171844502e+00
5.500000000000000444e-01,6.638273094027622889e+00
5.600000000000000533e-01,6.625724396431148300e+00
5.700000000000000622e-01,5.267542025637252046e+00
5.799999999999999600e-01,1.439867789254170205e+01
5.899999999999999689e-01,2.894260316103253317e+01
5.999999999999999778e-01,4.763294156897545761e+00
6.099999999999999867e-01,6.676635878380457356e+00
6.199999999999999956e-01,1.479198148492110931e+01
6.300000000000000044e-01,4.693862215331192189e+00
6.400000000000000133e-01,6.338576602995060760e+00
6.500000000000000222e-01,6.339113370338162134e+00
6.600000000000000311e-01,6.667273510510640655e+00
6.700000000000000400e-01,7.324195265057080917e+01
6.800000000000000488e-01,2.854251424690165351e+00
6.900000000000000577e-01,2.464197842713997133e+01
7.000000000000000666e-01,6.075104037487296438e+00
7.099999999999999645e-01,6.872969743470821413e+01
7.199999999999999734e-01,1.712741654073328013e+00
7.299999999999999822e-01,4.413086337461345821e+00
7.399999999999999911e-01,4.910218226913550588e+00
7.500000000000000000e-01,4.446350521017894408e+00
7.600000000000000089e-01,9.126437858022580230e+00
7.700000000000000178e-01,4.136794563708492412e+00
7.800000000000000266e-01,6.020307879594104961e+00
7.900000000000000355e-01,4.345146302809144601e+00
8.000000000000000444e-01,5.639526471272115593e+00
8.100000000000000533e-01,2.248948053146373471e+00
8.200000000000000622e-01,7.407724250632481855e+00
8.300000000000000711e-01,5.943905211661873800e+00
8.399999999999999689e-01,2.025761795782695884e+01
8.499999999999999778e-01,5.831433872819243192e+00
8.599999999999999867e-01,5.645262001516429429e+00
