w,G
0.000000000000000000e+00,4.581361437060441233e+01
1.000000000000000021e-02,7.083360883695662302e+00
2.000000000000000042e-02,7.024466178128721872e+00
2.999999999999999889e-02,6.890545371792464735e+00
4.000000000000000083e-02,7.108859159476328848e+00
5.000000000000000278e-02,6.882980606298055193e+00
5.999999999999999778e-02,6.782317664128148849e+00
7.000000000000000666e-02,6.108883566197521375e+00
8.000000000000000167e-02,5.145429030745667376e+00
8.999999999999999667e-02,4.502589593649335420e+00
1.000000000000000056e-01,2.920589329443794124e+00
1.100000000000000006e-01,5.707125632199478993e+00
1.199999999999999956e-01,6.516868306061507354e+00
1.300000000000000044e-01,2.885688619945342204e+00
1.400000000000000133e-01,6.216912090276972336e+00
1.499999999999999944e-01,4.029052067133775950e+00
1.600000000000000033e-01,4.017299487436659433e+00
1.700000000000000122e-01,5.438294404160793682e+00
1.799999999999999933e-01,5.516757202387940318e+00
1.900000000000000022e-01,3.106428832955921315e+00
2.000000000000000111e-01,3.827969621219528218e+00
2.099999999999999922e-01,5.835910405034433701e+00
2.200000000000000011e-01,3.847157363902665050e+00
2.300000000000000100e-01,1.230312346817875024e+01
2.399999999999999911e-01,4.900169017901165880e+00
2.500000000000000000e-01,6.155469395203467364e+00
2.600000000000000089e-01,3.415750625882453040e+00
2.700000000000000178e-01,3.205021990076565963e+00
2.800000000000000266e-01,6.186508765577700686e+00
2.899999999999999800e-01,5.501418010095444622e+00
2.999999999999999889e-01,1.879679529526799087e+01
3.099999999999999978e-01,5.200245777488600396e+00
3.200000000000000067e-01,7.204013263273566281e+00
3.300000000000000155e-01,9.126182943732605679e+01
3.400000000000000244e-01,4.986987522833977060e+00
3.500000000000000333e-01,3.787008020615012072e+01
3.599999999999999867e-01,2.205956220703136950e+01
3.699999999999999956e-01,4.928245366212768097e+00
3.800000000000000044e-01,1.026022866524013111e+01
3.900000000000000133e-01,4.731863958638125034e+00
4.000000000000000222e-01,5.156308906024444028e+00
4.100000000000000311e-01,2.687949685488761453e+00
4.199999999999999845e-01,2.031620596048507821e+01
4.299999999999999933e-01,5.667173892863005769e+00
4.400000000000000022e-01,2.225119148857978857e+01
4.500000000000000111e-01,4.482184960511818694e+00
4.600000000000000200e-01,5.675224044381829813e+00
4.700000000000000289e-01,3.519218739194465151e-01
4.799999999999999822e-01,4.261675353997412818e-01
4.899999999999999911e-01,6.045152708015129051e+00
5.000000000000000000e-01,3.100990154053195624e+01
5.100000000000000089e-01,3.322148556780517126e+00
5.200000000000000178e-01,3.836809395943283629e+00
5.300000000000000266e-01,3.910923307890070699e+00
5.400000000000000355e-01,6.004382278500219883e+00
5.500000000000000444e-01,6.101153954666863832e+00
5.600000000000000533e-01,1.544664170232294431e+01
5.700000000000000622e-01,4.214819677315392532e+00
5.799999999999999600e-01,6.666540673503265069e+00
5.899999999999999689e-01,4.143085892173921536e+00
5.999999999999999778e-01,6.413934702316504755e+00
6.099999999999999867e-01,3.931123308469723554e+01
6.199999999999999956e-01,6.064715893162238025e+00
6.300000000000000044e-01,4.345505856825528923e+00
6.400000000000000133e-01,5.628803406259561548e+00
6.500000000000000222e-01,6.447559657443431291e+00
6.600000000000000311e-01,5.568081256500687637e+00
6.700000000000000400e-01,3.527458781821650291e+00
6.800000000000000488e-01,6.144349386277619729e+00
6.900000000000000577e-01,6.331747029068913735e-01
7.000000000000000666e-01,2.081199356012476187e+00
7.099999999999999645e-01,7.624444932123050300e+00
7.199999999999999734e-01,2.298184758610178235e+00
7.299999999999999822e-01,3.728362943777005611e+00
7.399999999999999911e-01,1.122753209038747571e+02
7.500000000000000000e-01,8.897797647088561135e+00
7.600000000000000089e-01,5.065314119800910397e+00
7.700000000000000178e-01,4.281414105635595213e+00
7.800000000000000266e-01,2.246200618603499066e+01
7.900000000000000355e-01,3.471715946343710613e+00
8.000000000000000444e-01,3.694707518550973013e+00
8.100000000000000533e-01,5.356355300551861376e+00
8.200000000000000622e-01,6.157747006596556716e+00
8.300000000000000711e-01,1.461797775971438362e+01
8.399999999999999689e-01,4.006166086667438009e+00
8.499999999999999778e-01,4.739939245391916245e+00
8.599999999999999867e-01,6.211644401708605656e+00
8.699999999999999956e-01,1.793574351109938458e+00
8.800000000000000044e-01,6.028528374311393101e+00
8.900000000000000133e-01,6.518506605743610294e+00
9.000000000000000222e-01,6.600085529579099841e+01
9.100000000000000311e-01,6.193136589329393260e+00
9.200000000000000400e-01,5.595828820559479055e+00
9.300000000000000488e-01,7.308681088966612061e-01
9.400000000000000577e-01,5.778027657534578587e+00
9.500000000000000666e-01,6.284764625684543304e+00
9.599999999999999645e-01,1.454966064688572258e+00
9.699999999999999734e-01,6.068359406016380575e+00
9.799999999999999822e-01,4.741302925959209880e+00
9.899999999999999911e-01,6.080354107004074748e+00
1.000000000000000000e+00,1.377208359066641030e+01
1.010000000000000009e+00,5.929658604451032211e+00
1.020000000000000018e+00,6.363624329819406178e+00
1.030000000000000027e+00,6.202116987847380969e+00
1.040000000000000036e+00,1.729909664585490958e+01
1.050000000000000044e+00,5.823075524859124386e+00
1.060000000000000053e+00,6.232407449807761068e+00
1.070000000000000062e+00,6.000731232249078673e+00
1.080000000000000071e+00,3.018678376182526435e+01
1.090000000000000080e+00,6.263147642958255545e+00
1.100000000000000089e+00,6.024613458254065357e+00
1.110000000000000098e+00,9.069913737155761879e+00
1.120000000000000107e+00,6.083012275515373268e+00
1.130000000000000115e+00,6.017775434178266991e+00
1.140000000000000124e+00,9.294164720426437043e+01
1.150000000000000133e+00,5.926752459601426715e+00
1.159999999999999920e+00,3.615796808623722214e+00
1.169999999999999929e+00,4.808843358571327720e+00
1.179999999999999938e+00,1.507624442605611348e+00
1.189999999999999947e+00,2.684405409067488257e+00
1.199999999999999956e+00,4.757610164324302282e+00
1.209999999999999964e+00,1.209779062626044288e+00
1.219999999999999973e+00,1.855459551130871354e-01
1.229999999999999982e+00,4.784117456166365301e+00
1.239999999999999991e+00,9.196085878228664967e+00
1.250000000000000000e+00,2.237862470360081346e+00
1.260000000000000009e+00,5.073827791974254708e+00
1.270000000000000018e+00,3.115403553854643626e+00
1.280000000000000027e+00,3.629128592024131628e+00
1.290000000000000036e+00,1.422268798167614312e+00
1.300000000000000044e+00,3.687666784073898585e-01
1.310000000000000053e+00,5.135970025157316599e+00
1.320000000000000062e+00,1.584140665032810258e+00
1.330000000000000071e+00,5.105426228720727266e+00
1.340000000000000080e+00,8.014867979351675942e+00
1.350000000000000089e+00,5.437753311890958230e+00
1.360000000000000098e+00,3.844468579342358971e+00
1.370000000000000107e+00,5.050803768465459420e+00
1.380000000000000115e+00,2.746773700659165485e+00
