w,G
0.000000000000000000e+00,2.642437260331064053e+01
1.000000000000000021e-02,7.122558883245039496e+00
2.000000000000000042e-02,7.068530025315370224e+00
2.999999999999999889e-02,7.099166347881018524e+00
4.000000000000000083e-02,6.874259212661247176e+00
5.000000000000000278e-02,6.786827876037934359e+00
5.999999999999999778e-02,6.948324999645042688e+00
7.000000000000000666e-02,6.150876437811561459e+00
8.000000000000000167e-02,5.220733125757504922e+00
8.999999999999999667e-02,5.331887164538262169e+00
1.000000000000000056e-01,1.195093429301465893e-01
1.100000000000000006e-01,5.704064252625563824e+00
1.199999999999999956e-01,4.388773105363408256e+00
1.300000000000000044e-01,2.863413631351165556e+00
1.400000000000000133e-01,5.781965010579529718e+00
1.499999999999999944e-01,1.317089104373734276e+00
1.600000000000000033e-01,1.386551150389416343e+00
1.700000000000000122e-01,6.003811266889226950e+00
1.799999999999999933e-01,6.282923331868139449e+00
1.900000000000000022e-01,1.036544341479029852e-01
2.000000000000000111e-01,5.355076424371039145e+00
2.099999999999999922e-01,6.520805745700563705e+00
2.200000000000000011e-01,2.886171069578392423e+00
2.300000000000000100e-01,1.070857551705317690e+01
2.399999999999999911e-01,6.558446958621958700e+00
2.500000000000000000e-01,6.484918076968465783e+00
2.600000000000000089e-01,1.348041228617717380e+01
2.700000000000000178e-01,5.849468821686057751e+00
2.800000000000000266e-01,6.001272951811541745e+00
2.899999999999999800e-01,3.739764075618858818e-01
2.999999999999999889e-01,3.566125287069083605e+00
3.099999999999999978e-01,4.951557091501639363e+00
3.200000000000000067e-01,4.256737060950470664e-01
3.300000000000000155e-01,7.359902587128690499e+00
3.400000000000000244e-01,3.529927036038823740e+00
3.500000000000000333e-01,5.210547587279797277e+00
3.599999999999999867e-01,4.216461541836737936e+00
3.699999999999999956e-01,2.131181394736458046e+01
3.800000000000000044e-01,4.459833108723374906e+00
3.900000000000000133e-01,2.123482014084763669e+00
4.000000000000000222e-01,1.822669267855784625e+01
4.100000000000000311e-01,3.450006652282956665e+00
4.199999999999999845e-01,4.569042066275970093e+00
4.299999999999999933e-01,5.536474354835387857e-01
4.400000000000000022e-01,1.624063074689646058e+01
4.500000000000000111e-01,6.185864410430444771e+00
4.600000000000000200e-01,7.707960986124807512e+00
4.700000000000000289e-01,1.615047760717386893e+01
4.799999999999999822e-01,5.338548528249125624e+00
4.899999999999999911e-01,5.943337430577979141e+00
5.000000000000000000e-01,2.100522606401663950e+01
5.100000000000000089e-01,4.730356286862934745e+00
5.200000000000000178e-01,8.049539753922282159e+00
5.300000000000000266e-01,2.383123884883682653e+00
5.400000000000000355e-01,1.950126255214500670e+00
5.500000000000000444e-01,6.986644005856637030e+00
5.600000000000000533e-01,3.725543644552882228e+01
5.700000000000000622e-01,6.689749879512509878e-01
5.799999999999999600e-01,6.357027181837814567e+00
5.899999999999999689e-01,7.299974358760458415e+00
5.999999999999999778e-01,6.700617530312205972e+00
6.099999999999999867e-01,6.567422150090030719e+00
6.199999999999999956e-01,5.749481726598140341e+01
6.300000000000000044e-01,6.354231688740126671e+00
6.400000000000000133e-01,6.630201238935937269e+00
6.500000000000000222e-01,4.792940366690987553e+00
6.600000000000000311e-01,6.703805838118224614e+00
6.700000000000000400e-01,1.727616267589629828e+00
6.800000000000000488e-01,4.412871976276415253e+00
6.900000000000000577e-01,7.854115785606872180e-01
7.000000000000000666e-01,4.382267180090254399e+00
7.099999999999999645e-01,1.143435346514713125e+00
7.199999999999999734e-01,1.952174995961677428e+00
7.299999999999999822e-01,5.285535329458914688e+00
7.399999999999999911e-01,3.088845178972891681e+00
7.500000000000000000e-01,5.508390014138186963e+00
7.600000000000000089e-01,4.185461610593294246e+00
7.700000000000000178e-01,6.940869360128807841e+00
7.800000000000000266e-01,1.287674198587673047e+01
7.900000000000000355e-01,5.229146403767811258e+00
8.000000000000000444e-01,5.798547046598991450e+00
8.100000000000000533e-01,3.074354861566233943e+00
8.200000000000000622e-01,5.506724661630813422e+00
8.300000000000000711e-01,5.872881290695922907e+00
8.399999999999999689e-01,1.658058806250778616e+01
8.499999999999999778e-01,4.647943529964756237e+00
8.599999999999999867e-01,5.704873063417250201e+00
8.699999999999999956e-01,5.483821631644798522e-01
8.800000000000000044e-01,5.600418486276457664e+00
8.900000000000000133e-01,6.063968967723817549e+00
9.000000000000000222e-01,6.686730833757379422e+00
9.100000000000000311e-01,5.527200493143769044e+00
9.200000000000000400e-01,6.177927639354020783e+00
9.300000000000000488e-01,1.927843234625066016e+00
9.400000000000000577e-01,5.798455234275319725e+00
9.500000000000000666e-01,6.245001529263698004e+00
