w,G
0.000000000000000000e+00,1.450350959683139607e+01
1.000000000000000021e-02,6.961845787919424211e+00
2.000000000000000042e-02,6.829645257634083144e+00
2.999999999999999889e-02,7.020108078405232099e+00
4.000000000000000083e-02,7.048154505086212218e+00
5.000000000000000278e-02,6.657700770386519196e+00
5.999999999999999778e-02,6.784266054134328705e+00
7.000000000000000666e-02,5.938174833761065585e+00
8.000000000000000167e-02,5.610660083939645659e+00
8.999999999999999667e-02,2.166119738148989615e+00
1.000000000000000056e-01,4.024842620427081741e+00
1.100000000000000006e-01,5.248802348686439245e+00
1.199999999999999956e-01,1.004829650581307465e+00
1.300000000000000044e-01,4.646114773071301940e+00
1.400000000000000133e-01,5.175063854247261119e+00
1.499999999999999944e-01,6.102198040325797379e+00
1.600000000000000033e-01,5.873611686112545804e+00
1.700000000000000122e-01,1.079527010838043388e+01
1.799999999999999933e-01,1.676253540707868250e-01
1.900000000000000022e-01,6.274765149445195256e+00
2.000000000000000111e-01,8.140200203987335570e-01
2.099999999999999922e-01,5.473826552843897630e+00
2.200000000000000011e-01,2.992711582998238384e+01
2.300000000000000100e-01,5.176493244006624472e+00
2.399999999999999911e-01,6.250627047628326771e+00
2.500000000000000000e-01,7.071387863821415820e+00
2.600000000000000089e-01,2.080178650636216631e+01
2.700000000000000178e-01,4.876292159886810751e+00
2.800000000000000266e-01,6.433107570282395216e+00
2.899999999999999800e-01,2.710244642310638774e+00
2.999999999999999889e-01,2.538122865187081523e+00
3.099999999999999978e-01,4.015497149637281105e+00
3.200000000000000067e-01,6.801913046969114696e+00
3.300000000000000155e-01,2.546267538342551262e+01
3.400000000000000244e-01,6.897032077081439283e+00
3.500000000000000333e-01,5.247421823531969842e+00
3.599999999999999867e-01,4.305886297849541577e+00
3.699999999999999956e-01,1.980527453102233437e+01
3.800000000000000044e-01,4.089601616292057429e+00
3.900000000000000133e-01,1.133108578093330721e+01
4.000000000000000222e-01,2.691887328855033346e+01
4.100000000000000311e-01,5.045462705848193785e+00
4.199999999999999845e-01,4.306932814988075009e+00
4.299999999999999933e-01,4.568425947553111932e-02
4.400000000000000022e-01,5.936784147425971270e+00
4.500000000000000111e-01,5.985734922736429375e+00
4.600000000000000200e-01,4.706966567103533094e+01
4.700000000000000289e-01,6.074255261708056075e+00
4.799999999999999822e-01,2.755999870615990943e+00
4.899999999999999911e-01,4.881544542522398444e+00
5.000000000000000000e-01,8.854298831729487063e+00
5.100000000000000089e-01,6.007521272149607938e+01
5.200000000000000178e-01,6.485589812308294455e+00
5.300000000000000266e-01,1.512382900747542180e+01
5.400000000000000355e-01,2.811412815851645597e+00
5.500000000000000444e-01,3.823210351854041456e+00
5.600000000000000533e-01,6.566101862176628501e+00
5.700000000000000622e-01,1.756573783496975594e+01
5.799999999999999600e-01,6.075653458680152497e+00
5.899999999999999689e-01,6.585752334377755979e+00
5.999999999999999778e-01,4.294374674810089232e+01
6.099999999999999867e-01,6.397673806705958199e+00
6.199999999999999956e-01,6.241608812474425783e+00
6.300000000000000044e-01,2.029218936432413400e+01
6.400000000000000133e-01,6.062828781719826310e+00
6.500000000000000222e-01,6.573646379514197946e+00
6.600000000000000311e-01,1.861132179803679776e+01
6.700000000000000400e-01,5.070500978478157172e+00
6.800000000000000488e-01,6.321911810279054578e+00
6.900000000000000577e-01,2.517275971988715888e+00
7.000000000000000666e-01,3.439220395308459022e+00
7.099999999999999645e-01,4.809094695647517348e+00
7.199999999999999734e-01,2.787698502831133496e+01
7.299999999999999822e-01,5.773003957965607391e+00
7.399999999999999911e-01,1.997818353308254968e-01
7.500000000000000000e-01,3.723242718957589847e+00
7.600000000000000089e-01,5.674300991972620167e+00
7.700000000000000178e-01,9.540355574379464798e+00
7.800000000000000266e-01,1.593892632115319064e+00
7.900000000000000355e-01,5.827857060197398908e+00
8.000000000000000444e-01,1.818322415095396494e+01
8.100000000000000533e-01,1.188532809096642140e+01
8.200000000000000622e-01,6.057169463111269359e+00
8.300000000000000711e-01,5.073137564835519697e+00
