w,G
0.000000000000000000e+00,7.105167450521348371e+01
1.000000000000000021e-02,7.125028337858659633e+00
2.000000000000000042e-02,7.129327298956903647e+00
2.999999999999999889e-02,6.661496336371158122e+00
4.000000000000000083e-02,6.526059237705791105e+00
5.000000000000000278e-02,6.693088112825275715e+00
5.999999999999999778e-02,6.854355639583823212e+00
7.000000000000000666e-02,6.682912074156411641e+00
8.000000000000000167e-02,6.071983469859841165e+00
8.999999999999999667e-02,5.863603160844470530e+00
1.000000000000000056e-01,7.518480936226312750e-03
1.100000000000000006e-01,5.522431210930688117e+00
1.199999999999999956e-01,8.877684489081230090e-01
1.300000000000000044e-01,5.617786537723576501e+00
1.400000000000000133e-01,3.267360436576640659e+00
1.499999999999999944e-01,5.636530325269128561e+00
1.600000000000000033e-01,1.520875573692040916e+01
1.700000000000000122e-01,6.153031304760859577e+00
1.799999999999999933e-01,8.019148418870278405e+00
1.900000000000000022e-01,6.457438920510488956e+00
2.000000000000000111e-01,3.952661011434056793e+00
2.099999999999999922e-01,6.249662778305109079e+00
2.200000000000000011e-01,8.462271270667588396e+01
2.300000000000000100e-01,5.908991465621138417e+00
2.399999999999999911e-01,6.567544209495215668e+00
2.500000000000000000e-01,5.913173879200648742e+00
2.600000000000000089e-01,6.732407787515455766e+00
2.700000000000000178e-01,6.105416611527923365e+00
2.800000000000000266e-01,1.852549538231332393e+00
2.899999999999999800e-01,3.750587289353525922e+00
2.999999999999999889e-01,5.678137862450617135e+00
3.099999999999999978e-01,4.804910358978435880e+00
3.200000000000000067e-01,5.228415814729930844e+01
3.300000000000000155e-01,1.893847648529793926e+00
3.400000000000000244e-01,2.072116266083230407e+00
3.500000000000000333e-01,5.098632697570785410e+00
3.599999999999999867e-01,5.759417744290127317e+00
3.699999999999999956e-01,5.673273003140066884e+00
3.800000000000000044e-01,5.561641358008895253e+00
3.900000000000000133e-01,4.489752257617964482e+00
4.000000000000000222e-01,7.357449641636431892e+00
4.100000000000000311e-01,5.440555664219926868e+00
4.199999999999999845e-01,6.156728994420339163e+00
4.299999999999999933e-01,2.571838312895101808e+01
4.400000000000000022e-01,6.397288194264163508e+00
4.500000000000000111e-01,6.579889260697783016e+01
4.600000000000000200e-01,2.496405120847726877e+01
4.700000000000000289e-01,5.929837239564283990e+00
4.799999999999999822e-01,6.782468663545051513e+00
4.899999999999999911e-01,5.382726304674545936e+00
5.000000000000000000e-01,6.324825024040882759e+00
5.100000000000000089e-01,4.580438675700437834e+00
5.200000000000000178e-01,4.345026244720172848e+00
5.300000000000000266e-01,5.432093931879650839e+00
5.400000000000000355e-01,8.887849441933775907e+00
5.500000000000000444e-01,5.261879747950388264e+00
5.600000000000000533e-01,5.118414901087186664e+00
5.700000000000000622e-01,3.706895879038772712e+00
5.799999999999999600e-01,5.386091044378012782e+00
5.899999999999999689e-01,3.263225205257661798e+00
5.999999999999999778e-01,6.418173892919011081e+00
6.099999999999999867e-01,5.989977678921942328e+00
6.199999999999999956e-01,6.249174350402725509e+00
6.300000000000000044e-01,6.185718701364057992e+00
6.400000000000000133e-01,7.998382027068321065e+01
6.500000000000000222e-01,6.522036982965845553e+00
6.600000000000000311e-01,5.712382635507083251e+00
6.700000000000000400e-01,2.419230768507465434e-01
6.800000000000000488e-01,5.440204607208085186e+00
6.900000000000000577e-01,3.838950435926678395e+00
7.000000000000000666e-01,3.586057900868760751e+00
7.099999999999999645e-01,5.322697649453186353e-01
7.199999999999999734e-01,1.523425198487704790e+01
7.299999999999999822e-01,5.837627344111816718e+00
7.399999999999999911e-01,8.971066770862416107e+00
7.500000000000000000e-01,3.048035862932284346e+00
7.600000000000000089e-01,5.740252807398389834e+00
7.700000000000000178e-01,4.444451974457634513e+00
7.800000000000000266e-01,4.876961842758978705e+00
7.900000000000000355e-01,4.445527957708795164e+00
8.000000000000000444e-01,2.996754429692285449e+00
8.100000000000000533e-01,6.165035138150289917e+00
8.200000000000000622e-01,1.435221109874590795e+01
8.300000000000000711e-01,5.952189957001575493e+00
8.399999999999999689e-01,1.628684895139476119e-02
8.499999999999999778e-01,4.854697577755885618e+00
8.599999999999999867e-01,5.689073349361942533e+00
8.699999999999999956e-01,2.502879314742058270e+00
8.800000000000000044e-01,6.381544637530673469e+00
8.900000000000000133e-01,4.448002397531112706e+00
9.000000000000000222e-01,4.782770376875774332e+00
9.100000000000000311e-01,1.979572348929558023e+00
9.200000000000000400e-01,5.872939854057868558e+00
9.300000000000000488e-01,1.147858721157646400e+01
9.400000000000000577e-01,6.053743749380862127e+00
9.500000000000000666e-01,3.273241481683035659e+01
9.599999999999999645e-01,5.922704307666900370e+00
9.699999999999999734e-01,6.104690356673538432e+00
9.799999999999999822e-01,6.194803694860658183e+00
9.899999999999999911e-01,1.390737686170737675e-01
1.000000000000000000e+00,6.270298088686268478e+00
1.010000000000000009e+00,6.212984698220854973e+00
1.020000000000000018e+00,9.457321910604621351e+00
1.030000000000000027e+00,4.214262376263550713e+00
1.040000000000000036e+00,6.385227370617673870e+00
1.050000000000000044e+00,5.698073441760520552e+00
1.060000000000000053e+00,6.283398209970028958e+00
1.070000000000000062e+00,6.073566197736462335e+00
1.080000000000000071e+00,5.614222894202131720e+00
1.090000000000000080e+00,6.072781763223049190e+00
1.100000000000000089e+00,6.058900892169063468e+00
1.110000000000000098e+00,5.087788870262913932e+00
1.120000000000000107e+00,3.061851412624444269e+00
1.130000000000000115e+00,5.915941585460095631e+00
1.140000000000000124e+00,5.773606131949150289e+00
1.150000000000000133e+00,5.843717588792619821e+00
1.159999999999999920e+00,5.714069583877814829e+00
1.169999999999999929e+00,2.854947143658487008e+00
1.179999999999999938e+00,4.700294284160346336e+00
1.189999999999999947e+00,2.711525865713134920e+00
1.199999999999999956e+00,3.455598486056590257e+00
1.209999999999999964e+00,3.381868840959777245e+00
1.219999999999999973e+00,4.365043076092948127e+01
1.229999999999999982e+00,5.057862187939499599e+00
1.239999999999999991e+00,7.260924865918305660e-01
1.250000000000000000e+00,8.159196525523071841e+01
1.260000000000000009e+00,5.411483943217382020e+00
1.270000000000000018e+00,4.129687708319150552e+00
1.280000000000000027e+00,5.809601879020101833e+00
1.290000000000000036e+00,4.746888645374427895e+00
1.300000000000000044e+00,4.944926765229336496e+00
1.310000000000000053e+00,2.655619929721983574e+00
1.320000000000000062e+00,5.270411859259820808e+00
1.330000000000000071e+00,4.137807864649079015e+00
1.340000000000000080e+00,2.759669632307309328e+00
1.350000000000000089e+00,5.199431680428785896e+00
1.360000000000000098e+00,5.402266076652015414e+00
1.370000000000000107e+00,5.115278473230749690e+00
1.380000000000000115e+00,4.605480274125392626e+00
1.390000000000000124e+00,4.888571484841782500e+00
1.400000000000000133e+00,3.890485020027891316e+00
1.409999999999999920e+00,3.802137928660559218e+00
1.419999999999999929e+00,5.354604653341119125e+00
1.429999999999999938e+00,9.470425557279032347e+00
1.439999999999999947e+00,5.572277878665794049e+00
1.449999999999999956e+00,5.309510476858052996e+00
1.459999999999999964e+00,4.868155265553383515e+00
1.469999999999999973e+00,5.348622993882947263e+00
1.479999999999999982e+00,5.027135188642219532e+00
1.489999999999999991e+00,5.287866111516807521e+00
1.500000000000000000e+00,5.006371148767208012e+00
1.510000000000000009e+00,5.357481280222598841e+00
1.520000000000000018e+00,5.369424142059708416e+00
1.530000000000000027e+00,5.451734971143937791e+00
1.540000000000000036e+00,5.584806906563812845e+00
1.550000000000000044e+00,5.393079679008421223e+00
1.560000000000000053e+00,5.330156782058143250e+00
1.570000000000000062e+00,5.428248558292241732e+00
1.580000000000000071e+00,5.514136936734842287e+00
1.590000000000000080e+00,5.530295746860801387e+00
1.600000000000000089e+00,5.556488538952470968e+00
1.610000000000000098e+00,5.344231172536556329e+00
1.620000000000000107e+00,5.303121250802592002e+00
1.630000000000000115e+00,5.406487463694000795e+00
1.640000000000000124e+00,5.205092569054744267e+00
1.650000000000000133e+00,5.288094277932732012e+00
1.660000000000000142e+00,5.100950240736956687e+00
1.669999999999999929e+00,5.203672372890468800e+00
1.679999999999999938e+00,4.782104423579547792e+00
1.689999999999999947e+00,4.147336350124972704e+00
1.699999999999999956e+00,5.099341514491666949e+00
1.709999999999999964e+00,4.034942977798301911e+00
1.719999999999999973e+00,2.402348835526779247e+00
