w,G
0.000000000000000000e+00,1.999262022098907110e+01
1.000000000000000021e-02,7.324015840470214478e+00
2.000000000000000042e-02,7.253381640807223363e+00
2.999999999999999889e-02,6.857650612574408555e+00
4.000000000000000083e-02,6.656960429242644750e+00
5.000000000000000278e-02,6.601481883739706014e+00
5.999999999999999778e-02,6.867701271349322845e+00
7.000000000000000666e-02,6.627262688244000444e+00
8.000000000000000167e-02,6.322070600283549169e+00
8.999999999999999667e-02,1.656582518748331401e+00
1.000000000000000056e-01,5.784628465201871350e+00
1.100000000000000006e-01,2.258602581127289177e-02
1.199999999999999956e-01,5.475179044884203705e+00
1.300000000000000044e-01,6.299797440882340283e+00
1.400000000000000133e-01,1.051770502209378755e+01
1.499999999999999944e-01,6.212171163255707285e+00
1.600000000000000033e-01,3.139396717035739748e+00
1.700000000000000122e-01,5.727843896631216403e+00
1.799999999999999933e-01,5.227266327465105888e+00
1.900000000000000022e-01,1.753338040240723705e+00
2.000000000000000111e-01,6.444404585685203912e+00
2.099999999999999922e-01,4.512103144729902482e+00
2.200000000000000011e-01,2.230587455290054066e+01
2.300000000000000100e-01,6.581015884095522850e+00
2.399999999999999911e-01,6.507296157823146743e+00
2.500000000000000000e-01,3.373454783443429417e+00
2.600000000000000089e-01,5.578680905661817846e+00
2.700000000000000178e-01,6.645299999041315964e+00
2.800000000000000266e-01,3.151165823610152117e+01
2.899999999999999800e-01,6.273479694842052368e+00
2.999999999999999889e-01,4.775691904029999435e+00
3.099999999999999978e-01,5.144880101169905018e+00
3.200000000000000067e-01,4.507727084025416886e+00
3.300000000000000155e-01,3.098895361078246591e+00
3.400000000000000244e-01,5.122320733789614167e+00
3.500000000000000333e-01,5.225554054951605742e+00
3.599999999999999867e-01,3.047532603270497376e+01
3.699999999999999956e-01,1.188336901136976875e+00
3.800000000000000044e-01,5.402814917417512852e+00
3.900000000000000133e-01,1.576784805094152944e+02
4.000000000000000222e-01,1.026441657022700937e+01
4.100000000000000311e-01,5.272269456062720572e+00
4.199999999999999845e-01,1.485543563683111579e+01
4.299999999999999933e-01,5.288527678763963458e+00
4.400000000000000022e-01,9.511397173659982940e+00
4.500000000000000111e-01,2.498187828006626976e+00
4.600000000000000200e-01,1.845414467033239081e+00
4.700000000000000289e-01,1.325620567474268441e+01
4.799999999999999822e-01,9.149372110918196910e-01
4.899999999999999911e-01,4.703001133898996322e+00
5.000000000000000000e-01,4.582189575802635417e+00
5.100000000000000089e-01,4.496178843117493606e+00
5.200000000000000178e-01,4.359791170125283166e+00
5.300000000000000266e-01,5.561375756001335269e+00
5.400000000000000355e-01,5.534744818164324620e+00
5.500000000000000444e-01,6.290745722224626135e+00
5.600000000000000533e-01,2.097938364033026559e+01
5.700000000000000622e-01,6.531520601841220852e+00
5.799999999999999600e-01,6.595673110743420331e+00
5.899999999999999689e-01,1.021546331676449526e+01
5.999999999999999778e-01,6.856063761070551044e-01
6.099999999999999867e-01,5.739054745645562505e+00
6.199999999999999956e-01,5.525865368545286316e+00
6.300000000000000044e-01,1.583949855139077600e+00
6.400000000000000133e-01,5.786598436154104519e+00
6.500000000000000222e-01,8.893600238530988022e+00
6.600000000000000311e-01,5.257842755236621812e+00
6.700000000000000400e-01,6.330764311204804429e+00
6.800000000000000488e-01,2.054554702846932202e+01
6.900000000000000577e-01,2.037403437882752577e+00
7.000000000000000666e-01,3.631964771095538946e+00
7.099999999999999645e-01,3.185909603853435357e+00
7.199999999999999734e-01,9.804486516076564850e-01
7.299999999999999822e-01,6.027256809798466897e+00
7.399999999999999911e-01,2.640837193488285273e+00
7.500000000000000000e-01,4.211736366482009331e+00
7.600000000000000089e-01,5.960638373885792873e+00
7.700000000000000178e-01,2.812525731579128774e+00
7.800000000000000266e-01,3.862067032058576377e+00
7.900000000000000355e-01,3.512783070864830659e+00
8.000000000000000444e-01,5.419738408165893695e+00
8.100000000000000533e-01,5.539123432577444994e+00
8.200000000000000622e-01,1.155725777403182875e+01
8.300000000000000711e-01,5.483661488293104291e+00
8.399999999999999689e-01,6.118210500198030033e+00
8.499999999999999778e-01,6.125524336958110183e+01
8.599999999999999867e-01,6.048856016602135455e+00
8.699999999999999956e-01,1.914252836267010593e+01
8.800000000000000044e-01,6.326003810432033525e+00
8.900000000000000133e-01,1.311864397746684396e+00
9.000000000000000222e-01,5.517428711724326362e+00
9.100000000000000311e-01,1.957853651636951353e+00
9.200000000000000400e-01,5.596434363348784302e+00
9.300000000000000488e-01,6.358285997827131553e+00
9.400000000000000577e-01,1.365492568218925395e+00
9.500000000000000666e-01,6.125404716508262126e+00
9.599999999999999645e-01,5.883743238902455097e+00
9.699999999999999734e-01,1.408628945644676023e+01
9.799999999999999822e-01,5.411815005292737624e+00
9.899999999999999911e-01,6.280664345650461833e+00
1.000000000000000000e+00,5.411277805736439461e+00
1.010000000000000009e+00,3.370466932842311802e+00
1.020000000000000018e+00,6.017130481810880838e+00
1.030000000000000027e+00,6.268204559116569818e+00
1.040000000000000036e+00,1.534606523696720970e+01
1.050000000000000044e+00,5.922960703803223481e+00
1.060000000000000053e+00,5.980930859365383157e+00
1.070000000000000062e+00,3.862295786193892244e+00
1.080000000000000071e+00,5.894904340275362031e+00
1.090000000000000080e+00,9.650705582708265950e+00
1.100000000000000089e+00,6.148919413579906568e+00
1.110000000000000098e+00,5.651872862138808351e+00
1.120000000000000107e+00,5.780316229919671756e+00
1.130000000000000115e+00,5.880687079810341444e+00
