w,G
0.000000000000000000e+00,4.923294970281402527e+01
1.000000000000000021e-02,7.224938052581761028e+00
2.000000000000000042e-02,7.198387253710099465e+00
2.999999999999999889e-02,7.159650912975828341e+00
4.000000000000000083e-02,6.846169232190167264e+00
5.000000000000000278e-02,6.531880954481537493e+00
5.999999999999999778e-02,6.666307681557205100e+00
7.000000000000000666e-02,6.532457980379143159e+00
8.000000000000000167e-02,6.021334476673398939e+00
8.999999999999999667e-02,5.317427135057892329e+00
1.000000000000000056e-01,4.850181748213721278e+00
1.100000000000000006e-01,5.086097091323644293e+00
1.199999999999999956e-01,2.384104202912708637e+00
1.300000000000000044e-01,4.069830972579604023e+00
1.400000000000000133e-01,6.146968433548300581e+00
1.499999999999999944e-01,1.261755525631678365e+00
1.600000000000000033e-01,3.090747156042705335e+00
1.700000000000000122e-01,6.052592633553522283e+00
1.799999999999999933e-01,7.541371065081696745e-01
1.900000000000000022e-01,1.937595875830588898e+00
2.000000000000000111e-01,6.510525861215652021e+00
2.099999999999999922e-01,5.127867674560738998e+00
2.200000000000000011e-01,8.079614143629523682e+00
2.300000000000000100e-01,6.306106630940904623e+00
2.399999999999999911e-01,2.633679547262348208e+00
2.500000000000000000e-01,5.178703257562817797e+00
2.600000000000000089e-01,6.392556364836760707e+00
2.700000000000000178e-01,1.444006051235611210e-01
2.800000000000000266e-01,4.942074296598367056e+00
2.899999999999999800e-01,1.044004473501772390e+00
2.999999999999999889e-01,1.078549005457217724e+01
3.099999999999999978e-01,5.852188509217583601e+00
3.200000000000000067e-01,4.903624817782826106e+00
3.300000000000000155e-01,1.472648960343204116e+01
3.400000000000000244e-01,7.969316668964171413e+01
3.500000000000000333e-01,5.213151535324755059e+00
3.599999999999999867e-01,1.088904811930631045e+00
3.699999999999999956e-01,2.782609003373216794e+01
3.800000000000000044e-01,4.840658304897144859e+01
3.900000000000000133e-01,4.949368355083683113e+00
4.000000000000000222e-01,5.230726496847649010e+00
4.100000000000000311e-01,5.517388236027366055e+00
4.199999999999999845e-01,3.523129689722931346e+01
4.299999999999999933e-01,6.157252612857174512e+00
4.400000000000000022e-01,1.625135965258331794e+01
4.500000000000000111e-01,1.056552187052589353e+01
4.600000000000000200e-01,6.451153522901710957e+00
4.700000000000000289e-01,2.839925266540956894e-01
