w,G
0.000000000000000000e+00,3.298416717812695254e+01
1.000000000000000021e-02,7.275637912467572299e+00
2.000000000000000042e-02,7.049726976653773569e+00
2.999999999999999889e-02,6.868514195139016287e+00
4.000000000000000083e-02,6.978331337973075144e+00
5.000000000000000278e-02,6.728836736163156473e+00
5.999999999999999778e-02,6.482530473818854944e+00
7.000000000000000666e-02,6.659222880813223888e+00
8.000000000000000167e-02,5.395434184533284494e+00
8.999999999999999667e-02,4.690529575477325963e+00
1.000000000000000056e-01,5.075597635634454541e+00
1.100000000000000006e-01,6.126877994835705721e+00
1.199999999999999956e-01,5.636334022661903198e+00
1.300000000000000044e-01,5.841309206371443352e+00
1.400000000000000133e-01,5.608074731336230911e+00
1.499999999999999944e-01,3.466747260358660654e+00
1.600000000000000033e-01,4.879693518338235947e+00
1.700000000000000122e-01,5.962959787389832123e+00
1.799999999999999933e-01,3.677942743615974841e+00
1.900000000000000022e-01,4.833043324202316526e+00
2.000000000000000111e-01,4.076297152922601086e+00
2.099999999999999922e-01,6.126437638030775901e+00
2.200000000000000011e-01,5.770298300253421608e+00
2.300000000000000100e-01,1.841521190868256053e+00
2.399999999999999911e-01,5.352977854269006741e+00
2.500000000000000000e-01,8.968886456525999584e-01
2.600000000000000089e-01,3.272737126661041884e+00
2.700000000000000178e-01,5.255902736863766300e+00
2.800000000000000266e-01,1.393346489792971710e+00
2.899999999999999800e-01,4.786979919040517117e+00
2.999999999999999889e-01,5.392925652050644558e+00
3.099999999999999978e-01,1.410055409717540620e+00
3.200000000000000067e-01,4.402712995266055529e+00
3.300000000000000155e-01,6.722792647667957056e+01
3.400000000000000244e-01,5.471414282424900133e-01
3.500000000000000333e-01,1.824998510314253153e+01
3.599999999999999867e-01,5.464247011702080492e+00
3.699999999999999956e-01,3.662060497190814612e+00
3.800000000000000044e-01,3.265581651778779104e+01
3.900000000000000133e-01,1.049664898448825312e+01
4.000000000000000222e-01,5.440670518850462045e+00
4.100000000000000311e-01,1.893624038799682197e+01
4.199999999999999845e-01,7.997920854654414491e+00
4.299999999999999933e-01,1.066576108389459066e+01
4.400000000000000022e-01,5.924458963799860811e+00
4.500000000000000111e-01,2.728898690400954052e+01
4.600000000000000200e-01,2.712357237344172223e+00
4.700000000000000289e-01,1.343133823133457749e-01
4.799999999999999822e-01,1.297593503947464022e+01
4.899999999999999911e-01,6.542921499806958252e+00
5.000000000000000000e-01,2.530322908693110051e+01
5.100000000000000089e-01,5.272724261102032628e+00
5.200000000000000178e-01,2.648294366027644120e+00
5.300000000000000266e-01,4.287001299550119882e+00
5.400000000000000355e-01,5.536552519714888376e+00
5.500000000000000444e-01,4.396835877405901982e+00
5.600000000000000533e-01,3.655461525208293594e+00
5.700000000000000622e-01,6.796064918666504084e+00
5.799999999999999600e-01,2.751030464727366009e+01
5.899999999999999689e-01,5.102223773694757547e+00
5.999999999999999778e-01,6.430391765097801304e+00
6.099999999999999867e-01,6.485208711586922803e+00
6.199999999999999956e-01,4.270145250516090840e+00
6.300000000000000044e-01,1.817784180479583611e+01
6.400000000000000133e-01,4.760871600090250233e+00
6.500000000000000222e-01,5.656972534131726960e+00
6.600000000000000311e-01,5.880533269514375050e+00
6.700000000000000400e-01,5.008722025828611812e+00
6.800000000000000488e-01,3.862047843207866649e+00
6.900000000000000577e-01,1.143879762126253308e+00
7.000000000000000666e-01,5.371244678275664874e+00
7.099999999999999645e-01,4.898048425188274990e+00
7.199999999999999734e-01,5.735619336963703851e+00
7.299999999999999822e-01,5.773146983606736171e+00
7.399999999999999911e-01,2.932041674184537428e+01
7.500000000000000000e-01,4.520385903816270812e-01
7.600000000000000089e-01,5.462453944885140800e+00
7.700000000000000178e-01,1.271092697299590490e+01
7.800000000000000266e-01,5.611519344055528435e+00
7.900000000000000355e-01,3.080929404186121268e+00
8.000000000000000444e-01,5.635304919281531433e+00
8.100000000000000533e-01,2.060895752109304979e+01
8.200000000000000622e-01,6.141696733012766529e+00
8.300000000000000711e-01,8.006527862520751437e-01
8.399999999999999689e-01,5.218558514717304142e+00
8.499999999999999778e-01,6.090341865624503193e+00
8.599999999999999867e-01,1.977405909407406170e+01
8.699999999999999956e-01,6.095733804508432385e+00
8.800000000000000044e-01,6.318196500395339754e+00
8.900000000000000133e-01,5.719252060959748363e+00
9.000000000000000222e-01,6.035164235122323362e+00
9.100000000000000311e-01,2.616759134527138642e+01
9.200000000000000400e-01,6.307990197571376356e+00
9.300000000000000488e-01,3.713670941346796539e+00
9.400000000000000577e-01,5.685732206896189744e+00
9.500000000000000666e-01,6.189295634676644120e+00
9.599999999999999645e-01,7.683381706255111299e-01
9.699999999999999734e-01,6.239654941989349446e+00
9.799999999999999822e-01,5.942596825976387720e+00
9.899999999999999911e-01,2.108702342856596079e+00
1.000000000000000000e+00,3.300749807719216555e+00
1.010000000000000009e+00,5.673357915064340951e+00
1.020000000000000018e+00,6.135118026726802398e+00
1.030000000000000027e+00,6.464386621182051762e+00
1.040000000000000036e+00,4.797685506540347866e-01
1.050000000000000044e+00,5.017947645259697609e+00
1.060000000000000053e+00,5.798055863974811430e+00
1.070000000000000062e+00,5.627755244449453187e+00
