w,G
0.000000000000000000e+00,5.872965162402741157e+01
1.000000000000000021e-02,7.046095897518111606e+00
2.000000000000000042e-02,6.916702811855186539e+00
2.999999999999999889e-02,6.807638235725677944e+00
4.000000000000000083e-02,6.718654584787212336e+00
5.000000000000000278e-02,6.850463407583514019e+00
5.999999999999999778e-02,6.720198441063312877e+00
7.000000000000000666e-02,6.384420310987366065e+00
8.000000000000000167e-02,5.846755746480507554e+00
8.999999999999999667e-02,1.616102348249581766e-02
1.000000000000000056e-01,5.514522372398864114e+00
1.100000000000000006e-01,3.768539069003031372e+00
1.199999999999999956e-01,1.498561767457782024e+00
1.300000000000000044e-01,5.553464566049266082e+00
1.400000000000000133e-01,2.263690480676116223e+00
1.499999999999999944e-01,1.848189174679869984e+00
1.600000000000000033e-01,6.192638986009429303e+00
1.700000000000000122e-01,3.489698970527157940e+00
1.799999999999999933e-01,3.418122602504059859e+00
1.900000000000000022e-01,6.350935622412228199e+00
2.000000000000000111e-01,4.470048217721000583e+00
2.099999999999999922e-01,5.848456150697678879e+00
2.200000000000000011e-01,5.955908503628991824e+00
2.300000000000000100e-01,4.005454099385877598e+00
2.399999999999999911e-01,5.454806391033802271e+00
2.500000000000000000e-01,5.139753080514459782e+00
2.600000000000000089e-01,6.533274320220071374e+00
2.700000000000000178e-01,1.282332465042198422e+01
2.800000000000000266e-01,6.126273765052538955e+00
2.899999999999999800e-01,5.886343521490332797e+00
2.999999999999999889e-01,6.001997582012497112e+00
3.099999999999999978e-01,6.738302788271039567e+00
3.200000000000000067e-01,4.039404231736943629e+00
3.300000000000000155e-01,3.433911296272604829e+00
3.400000000000000244e-01,3.979309271132683534e+01
3.500000000000000333e-01,2.387208824686126718e-03
3.599999999999999867e-01,2.811783725815629253e+01
3.699999999999999956e-01,5.998342549940757884e+00
3.800000000000000044e-01,1.096268040395333543e+00
3.900000000000000133e-01,5.722365145083282201e+00
4.000000000000000222e-01,6.054852862174316286e+00
4.100000000000000311e-01,3.499668215268700067e+01
4.199999999999999845e-01,1.517322034422206656e+01
4.299999999999999933e-01,6.438854729410433464e+00
4.400000000000000022e-01,1.275254305162090418e+01
4.500000000000000111e-01,7.043779828750608374e+00
4.600000000000000200e-01,5.971641481156631848e+00
4.700000000000000289e-01,4.435111228681464013e+00
4.799999999999999822e-01,6.299164002194433287e+00
4.899999999999999911e-01,3.357954665655319637e+00
5.000000000000000000e-01,5.983572448083251949e+00
5.100000000000000089e-01,6.898354106060491375e+00
5.200000000000000178e-01,7.189120319672839265e+00
5.300000000000000266e-01,9.120911865751473169e-01
5.400000000000000355e-01,6.666531675455960482e+00
5.500000000000000444e-01,6.227017924898166079e+00
5.600000000000000533e-01,6.356499614146604138e+00
5.700000000000000622e-01,6.033954537087545589e+00
5.799999999999999600e-01,5.403176223531838929e+01
5.899999999999999689e-01,6.562702489563850605e+00
5.999999999999999778e-01,7.169593345051614719e+00
6.099999999999999867e-01,6.170930416364281967e+00
6.199999999999999956e-01,1.054470956539370547e+02
6.300000000000000044e-01,6.604852761594410815e+00
6.400000000000000133e-01,6.547670584760077794e+00
6.500000000000000222e-01,6.841543932889523560e+00
6.600000000000000311e-01,1.811334545056015433e+00
6.700000000000000400e-01,6.330805919456847342e+00
6.800000000000000488e-01,5.195011416583271924e+00
6.900000000000000577e-01,6.359422240674508231e+01
7.000000000000000666e-01,1.131336458007384804e-01
7.099999999999999645e-01,4.861552201471257995e+00
7.199999999999999734e-01,2.194998314093866476e+00
7.299999999999999822e-01,6.047658458627986278e+01
7.399999999999999911e-01,5.965574367643223574e+00
7.500000000000000000e-01,5.488657967055084796e+00
7.600000000000000089e-01,1.353301098082677072e+02
7.700000000000000178e-01,4.699725982900557320e+00
7.800000000000000266e-01,5.942699892072611512e+00
7.900000000000000355e-01,4.318415135844416497e+00
8.000000000000000444e-01,2.971176980486133878e+00
8.100000000000000533e-01,5.507969712118872430e+00
8.200000000000000622e-01,1.794353322805717799e+00
8.300000000000000711e-01,5.550977353693919980e+00
8.399999999999999689e-01,6.031488325696781949e+00
8.499999999999999778e-01,3.394846825922849032e+00
8.599999999999999867e-01,3.035548248484262857e+00
8.699999999999999956e-01,5.423693248058163441e+00
8.800000000000000044e-01,2.440841943020042759e+00
8.900000000000000133e-01,6.169961345923159257e+00
9.000000000000000222e-01,5.991913361909319669e+00
9.100000000000000311e-01,6.173178153496972520e+00
9.200000000000000400e-01,5.011571097275451692e+00
9.300000000000000488e-01,5.944835812357645466e+00
9.400000000000000577e-01,5.685912743220685073e+00
9.500000000000000666e-01,6.362825827631200859e+00
9.599999999999999645e-01,2.794532398184728983e+00
9.699999999999999734e-01,3.263312401099840887e+00
9.799999999999999822e-01,6.254167381698098716e+00
9.899999999999999911e-01,6.396275618096748161e+00
1.000000000000000000e+00,1.282650841690895760e+01
1.010000000000000009e+00,4.980955228527133904e+00
1.020000000000000018e+00,6.041848351843139397e+00
1.030000000000000027e+00,6.144050372054871367e+00
1.040000000000000036e+00,3.707583377735947927e+00
1.050000000000000044e+00,6.311715086024096699e+00
1.060000000000000053e+00,6.024655094736063532e+00
1.070000000000000062e+00,5.995962143828308832e+00
1.080000000000000071e+00,6.335594935051757304e+00
1.090000000000000080e+00,5.716347003101603264e+00
1.100000000000000089e+00,5.955440786189833524e+00
1.110000000000000098e+00,5.936349463609193577e+00
1.120000000000000107e+00,5.924743984353831650e+00
1.130000000000000115e+00,6.121635515837821728e+00
1.140000000000000124e+00,5.703597017583396322e+00
1.150000000000000133e+00,5.478397073554371666e+00
1.159999999999999920e+00,4.438927762877392880e+00
1.169999999999999929e+00,4.152224603016700932e+00
1.179999999999999938e+00,9.066468008919901234e-01
1.189999999999999947e+00,4.827331333403374281e+00
1.199999999999999956e+00,4.030992638634046443e+01
1.209999999999999964e+00,2.041914114384724144e+01
1.219999999999999973e+00,5.032523542878245770e+00
1.229999999999999982e+00,4.144234884865735324e+00
1.239999999999999991e+00,2.153589984481805075e+01
1.250000000000000000e+00,4.983310091473534875e+00
1.260000000000000009e+00,4.940981834740814094e+00
1.270000000000000018e+00,1.639402319757345516e+00
1.280000000000000027e+00,4.888293194476368342e+00
1.290000000000000036e+00,5.261005488042239442e+00
1.300000000000000044e+00,2.101169800506335505e+00
1.310000000000000053e+00,4.017322397472725903e+00
1.320000000000000062e+00,5.437039486097480001e+00
