w,G
0.000000000000000000e+00,4.019986823501324835e+01
1.000000000000000021e-02,7.181448543336026447e+00
2.000000000000000042e-02,7.022113810144846369e+00
2.999999999999999889e-02,7.107826519355482375e+00
4.000000000000000083e-02,7.520508505532376375e+00
5.000000000000000278e-02,7.069962699586842092e+00
5.999999999999999778e-02,7.650006133529427821e+00
7.000000000000000666e-02,6.662947835634452254e+00
8.000000000000000167e-02,2.698066388614004829e+00
8.999999999999999667e-02,5.682938449148147164e+00
1.000000000000000056e-01,5.523147371158813712e+00
1.100000000000000006e-01,2.109983581274550879e+00
1.199999999999999956e-01,5.547357065469570969e+00
1.300000000000000044e-01,4.922031090872522441e+00
1.400000000000000133e-01,5.511936824710051752e+00
1.499999999999999944e-01,6.408523742364996778e+00
1.600000000000000033e-01,4.170741582844843975e+00
1.700000000000000122e-01,5.895998481184403062e+00
1.799999999999999933e-01,2.525039141846837421e+00
1.900000000000000022e-01,5.390137375490439808e+00
2.000000000000000111e-01,3.990168427405260232e+00
2.099999999999999922e-01,7.031576473979612274e+00
2.200000000000000011e-01,1.554486720859859972e+01
2.300000000000000100e-01,6.537515224516631029e+00
2.399999999999999911e-01,6.685101803663615172e+00
2.500000000000000000e-01,5.200150150723228393e+00
2.600000000000000089e-01,7.306608554748490469e+00
2.700000000000000178e-01,2.526229056244479310e+01
2.800000000000000266e-01,6.364379833580509960e+00
2.899999999999999800e-01,2.500937435741204862e+00
2.999999999999999889e-01,5.512575821471529025e+00
3.099999999999999978e-01,2.126817277657265137e+01
3.200000000000000067e-01,2.767614361733610195e-01
3.300000000000000155e-01,5.274439412438379549e+00
3.400000000000000244e-01,5.589279898999666329e+01
3.500000000000000333e-01,2.278265258753638278e+00
3.599999999999999867e-01,8.799947130852679322e+00
3.699999999999999956e-01,3.661522334370104659e+00
3.800000000000000044e-01,3.509525936102943167e+00
3.900000000000000133e-01,8.320298882679377783e+00
4.000000000000000222e-01,5.598626286989272671e+00
4.100000000000000311e-01,6.584612333814112262e+00
4.199999999999999845e-01,1.835360149200640612e+00
4.299999999999999933e-01,6.068727070593896045e+00
4.400000000000000022e-01,5.781617131446493474e+00
4.500000000000000111e-01,6.215196989260528326e+00
4.600000000000000200e-01,6.504218178222739510e+00
4.700000000000000289e-01,1.366029762840218265e+00
4.799999999999999822e-01,5.447164812850020965e+00
4.899999999999999911e-01,6.821935082244474202e+00
5.000000000000000000e-01,5.796918911543494701e+00
5.100000000000000089e-01,6.484988440653697950e+00
