w,G
0.000000000000000000e+00,5.499192036299710651e+01
1.000000000000000021e-02,7.084599333992854575e+00
2.000000000000000042e-02,7.177454430598738888e+00
2.999999999999999889e-02,7.082185431979377555e+00
4.000000000000000083e-02,6.771331754186745044e+00
5.000000000000000278e-02,6.993958903121638038e+00
5.999999999999999778e-02,6.388249270232795318e+00
7.000000000000000666e-02,6.406377225110048812e+00
8.000000000000000167e-02,6.192690123869631691e+00
8.999999999999999667e-02,5.140876623637313791e+00
1.000000000000000056e-01,2.215453711469685416e+01
1.100000000000000006e-01,4.825443279628341742e+00
1.199999999999999956e-01,4.761789278216419063e+00
1.300000000000000044e-01,4.562060611921434194e+00
1.400000000000000133e-01,5.700165680026799464e+00
1.499999999999999944e-01,6.267768248476198067e+00
1.600000000000000033e-01,1.280467797886525760e+00
1.700000000000000122e-01,4.669698403615176296e+00
1.799999999999999933e-01,5.634929529098192447e+00
1.900000000000000022e-01,3.380523198367293425e-01
2.000000000000000111e-01,4.207010343066131419e+00
2.099999999999999922e-01,6.269543319261646097e+00
2.200000000000000011e-01,5.602438862064930802e+00
2.300000000000000100e-01,6.011431640417555400e+00
2.399999999999999911e-01,6.236590672049412198e+00
2.500000000000000000e-01,4.049671156117298665e+00
2.600000000000000089e-01,6.326202374351160174e+00
2.700000000000000178e-01,3.454228778524195853e+00
2.800000000000000266e-01,5.213889129774496034e+00
2.899999999999999800e-01,1.630002246338180250e+00
2.999999999999999889e-01,2.875909551205454662e+00
3.099999999999999978e-01,4.995658945779508642e+00
3.200000000000000067e-01,2.272951649867947026e+02
3.300000000000000155e-01,5.177902897685470407e+00
3.400000000000000244e-01,5.361990306802626449e+00
3.500000000000000333e-01,4.908803362400524151e+01
3.599999999999999867e-01,4.188209934641031751e+00
3.699999999999999956e-01,5.707695962876104367e+00
3.800000000000000044e-01,5.401922984641727510e+01
3.900000000000000133e-01,4.487171540269225289e+01
4.000000000000000222e-01,2.340397009395116079e+00
4.100000000000000311e-01,7.712552534448835928e+00
4.199999999999999845e-01,2.002569186084563135e+00
4.299999999999999933e-01,4.174525471863778314e+00
4.400000000000000022e-01,7.340378701636825554e+01
4.500000000000000111e-01,6.130682183869001101e+00
4.600000000000000200e-01,5.508737233057935612e+00
4.700000000000000289e-01,1.265032633125315265e+01
4.799999999999999822e-01,2.496302004071412384e+01
4.899999999999999911e-01,1.973369298967553576e+01
5.000000000000000000e-01,1.496579062214343114e+00
5.100000000000000089e-01,5.430800095425892593e+00
5.200000000000000178e-01,3.450083557824268787e+00
5.300000000000000266e-01,6.819835149007955621e+00
5.400000000000000355e-01,3.597192903984947510e+00
5.500000000000000444e-01,4.932379459342635108e+00
5.600000000000000533e-01,4.974532860880890972e+00
5.700000000000000622e-01,6.581877063654527626e-01
5.799999999999999600e-01,1.264954512944254761e+00
5.899999999999999689e-01,6.684791173494075700e+00
5.999999999999999778e-01,6.790121072661333912e+00
6.099999999999999867e-01,2.845509967601075374e+01
6.199999999999999956e-01,6.351739426672639688e+00
6.300000000000000044e-01,6.570238252827902414e+00
6.400000000000000133e-01,5.772845923969392601e+01
6.500000000000000222e-01,6.411367649972839367e+00
6.600000000000000311e-01,5.787202569211402192e+00
6.700000000000000400e-01,5.187209494036888913e+00
6.800000000000000488e-01,5.608267780148633364e+00
6.900000000000000577e-01,1.829320965185187831e+01
7.000000000000000666e-01,6.090840787718263982e+00
7.099999999999999645e-01,4.082365786961018017e+01
7.199999999999999734e-01,5.054985492742766873e+00
7.299999999999999822e-01,2.241373688049514534e+00
7.399999999999999911e-01,2.084543379140208152e+00
7.500000000000000000e-01,5.397803883350148269e+00
7.600000000000000089e-01,2.322818128333423715e+00
7.700000000000000178e-01,5.186008301299912304e+00
7.800000000000000266e-01,5.650686652494233186e+00
7.900000000000000355e-01,1.917771885248512165e+00
8.000000000000000444e-01,1.695017790602909802e+00
8.100000000000000533e-01,5.943533884468716444e+00
8.200000000000000622e-01,1.222936316213739660e-01
8.300000000000000711e-01,4.485112051818873624e-02
8.399999999999999689e-01,6.199040395600886377e+00
8.499999999999999778e-01,2.960434740564112488e+00
8.599999999999999867e-01,5.918360118254813784e+00
8.699999999999999956e-01,6.360619158445921961e+00
8.800000000000000044e-01,5.376424975990227395e+00
8.900000000000000133e-01,6.219131907321686192e+00
9.000000000000000222e-01,6.571515829824836619e-02
9.100000000000000311e-01,5.044251567743008202e+00
9.200000000000000400e-01,5.940024269966717618e+00
9.300000000000000488e-01,7.850236636863371587e+00
9.400000000000000577e-01,8.037649124602026518e+00
9.500000000000000666e-01,5.979516555933262367e+00
9.599999999999999645e-01,6.134192071369286126e+00
9.699999999999999734e-01,6.962473913985728124e+00
9.799999999999999822e-01,5.452637128061574856e+00
9.899999999999999911e-01,5.835718310333747105e+00
1.000000000000000000e+00,6.068145116405749384e+00
1.010000000000000009e+00,1.775517139744430928e+00
1.020000000000000018e+00,6.070786535049085053e+00
1.030000000000000027e+00,6.069469669164201164e+00
1.040000000000000036e+00,4.274288619190880212e-03
1.050000000000000044e+00,5.989377290533862919e+00
1.060000000000000053e+00,6.386397869030389529e+00
1.070000000000000062e+00,3.038173229998720082e+00
1.080000000000000071e+00,5.998982029599266852e+00
1.090000000000000080e+00,2.854638032581515716e+00
1.100000000000000089e+00,5.507783778876734537e+00
1.110000000000000098e+00,6.144899213962620621e+00
1.120000000000000107e+00,5.413234916826017873e+00
1.130000000000000115e+00,5.787263157799277025e+00
1.140000000000000124e+00,5.627858242139359035e+00
1.150000000000000133e+00,3.585431533601369836e+01
1.159999999999999920e+00,3.855379813570949388e+00
1.169999999999999929e+00,5.077087427711505896e+00
1.179999999999999938e+00,1.608085917504062934e+00
1.189999999999999947e+00,2.227940508958491606e+00
1.199999999999999956e+00,3.801208536281910799e+00
1.209999999999999964e+00,5.472645612909979640e+00
