w,G
0.000000000000000000e+00,4.452503390343019163e+01
1.000000000000000021e-02,7.669045634674378498e+00
2.000000000000000042e-02,7.738622243505997922e+00
2.999999999999999889e-02,6.885137807602143667e+00
4.000000000000000083e-02,6.676876106982028602e+00
5.000000000000000278e-02,7.325872273213511754e+00
5.999999999999999778e-02,7.450204750705304413e+00
7.000000000000000666e-02,5.673640132270321601e+00
8.000000000000000167e-02,5.721984684383927267e-01
8.999999999999999667e-02,4.369237102873518630e+00
1.000000000000000056e-01,2.168791279624261659e+00
1.100000000000000006e-01,7.545802311774533422e+00
1.199999999999999956e-01,5.921125378391892013e+00
1.300000000000000044e-01,1.985589662819755929e+01
1.400000000000000133e-01,6.131515650261595951e+00
1.499999999999999944e-01,6.970445000295186766e+00
1.600000000000000033e-01,3.583913772978942092e+01
1.700000000000000122e-01,5.644615765881197511e+00
1.799999999999999933e-01,6.867315133376199476e+00
1.900000000000000022e-01,5.586393192904387206e+01
2.000000000000000111e-01,5.359348189567388232e+00
2.099999999999999922e-01,6.684540392969674727e+00
2.200000000000000011e-01,4.840386446140421128e-01
2.300000000000000100e-01,6.514892018838203569e+00
2.399999999999999911e-01,7.153559580558377817e+00
2.500000000000000000e-01,6.725059364408455309e+00
2.600000000000000089e-01,5.876630696278272836e+00
2.700000000000000178e-01,4.054423239741695717e+00
2.800000000000000266e-01,6.066783031717614350e+00
2.899999999999999800e-01,6.371162554305165315e+00
2.999999999999999889e-01,5.804563964203126147e+00
3.099999999999999978e-01,5.419651399268520464e+00
3.200000000000000067e-01,5.127829055544536274e+00
3.300000000000000155e-01,5.857229445090437636e+00
3.400000000000000244e-01,3.691123683008950707e+01
3.500000000000000333e-01,6.373468683091860321e+00
3.599999999999999867e-01,2.720055834937420425e+00
3.699999999999999956e-01,5.600843016260246543e+01
3.800000000000000044e-01,5.617963250263557917e+00
3.900000000000000133e-01,6.503389413678645425e+00
4.000000000000000222e-01,2.180613068655881293e+01
4.100000000000000311e-01,5.405734041805824397e+00
4.199999999999999845e-01,6.636050008860918226e+00
4.299999999999999933e-01,4.424169622801392876e+01
4.400000000000000022e-01,7.036452023179387005e+00
4.500000000000000111e-01,7.224398031111984864e+00
