w,G
0.000000000000000000e+00,2.230662906190503492e+01
1.000000000000000021e-02,7.300785400981088635e+00
2.000000000000000042e-02,7.097602241010300794e+00
2.999999999999999889e-02,7.252039774741256828e+00
4.000000000000000083e-02,6.757034676911458426e+00
5.000000000000000278e-02,6.720170365331258111e+00
5.999999999999999778e-02,6.432799568966856008e+00
7.000000000000000666e-02,6.546970485452045629e+00
8.000000000000000167e-02,6.123397647613627370e+00
8.999999999999999667e-02,1.331608180251335982e+00
1.000000000000000056e-01,6.058334377668040283e+00
1.100000000000000006e-01,2.562276370317886354e+00
1.199999999999999956e-01,5.782246849638729813e+00
1.300000000000000044e-01,5.792936007997448122e+00
1.400000000000000133e-01,1.135395285382171693e+01
1.499999999999999944e-01,6.159322781810239178e+00
1.600000000000000033e-01,1.753003961410480205e+00
1.700000000000000122e-01,5.524437916464488119e+00
1.799999999999999933e-01,5.213523739254791067e+00
1.900000000000000022e-01,1.992776055287447434e+01
2.000000000000000111e-01,6.670551626846279447e+00
2.099999999999999922e-01,2.275047943270628537e+01
2.200000000000000011e-01,6.626051213502740289e+00
2.300000000000000100e-01,1.221595961607715886e+00
2.399999999999999911e-01,5.688261911638387680e+00
2.500000000000000000e-01,6.405134982977732427e+00
2.600000000000000089e-01,1.136919214574018788e+01
2.700000000000000178e-01,2.723687928186860674e+00
2.800000000000000266e-01,6.250956534433392164e+00
2.899999999999999800e-01,3.451185276312851880e+00
2.999999999999999889e-01,5.700737738629499951e+00
3.099999999999999978e-01,6.019558655017219984e+00
3.200000000000000067e-01,4.478114938769157671e-01
3.300000000000000155e-01,1.438139169009146912e+01
3.400000000000000244e-01,5.191429313938433765e+00
3.500000000000000333e-01,3.993517897988424181e+01
3.599999999999999867e-01,5.931827429543167796e+01
3.699999999999999956e-01,1.873702857148831225e+00
3.800000000000000044e-01,2.450209977464842837e+01
3.900000000000000133e-01,6.063664856982921236e+00
4.000000000000000222e-01,3.157920035147723681e+00
4.100000000000000311e-01,5.910922887557346073e+00
4.199999999999999845e-01,2.970435319346851344e+01
4.299999999999999933e-01,9.581174270062908782e-01
4.400000000000000022e-01,4.311583038929811984e+00
4.500000000000000111e-01,7.408354141259754222e+00
4.600000000000000200e-01,5.758312778988192271e+00
4.700000000000000289e-01,1.688285753319152960e+01
4.799999999999999822e-01,6.286852029582336243e+00
4.899999999999999911e-01,2.915593132420196909e+00
5.000000000000000000e-01,1.095797703974428661e+00
