w,G
0.000000000000000000e+00,1.690921059218163691e+01
1.000000000000000021e-02,7.154863363792641096e+00
2.000000000000000042e-02,7.080188959378030944e+00
2.999999999999999889e-02,7.156820685812514959e+00
4.000000000000000083e-02,7.115134232708974160e+00
5.000000000000000278e-02,6.948944768644836678e+00
5.999999999999999778e-02,6.492713996102304819e+00
7.000000000000000666e-02,6.362095228805502600e+00
8.000000000000000167e-02,3.621173673662211101e+00
8.999999999999999667e-02,5.098359671516229596e+00
1.000000000000000056e-01,1.858730849584302014e+00
1.100000000000000006e-01,4.884244911742721129e+00
1.199999999999999956e-01,1.859952011394956140e+00
1.300000000000000044e-01,3.367811042960498824e+00
1.400000000000000133e-01,5.900790143328860538e+00
1.499999999999999944e-01,2.657196510034884440e+00
1.600000000000000033e-01,1.251851418443210573e+00
1.700000000000000122e-01,5.669036626274813528e+00
1.799999999999999933e-01,4.768471956591291416e-01
1.900000000000000022e-01,4.415824774972543665e+00
2.000000000000000111e-01,6.071278230893839556e-02
2.099999999999999922e-01,5.375418236935909810e+00
2.200000000000000011e-01,1.058870873643129329e+01
2.300000000000000100e-01,7.431500701894717675e-01
2.399999999999999911e-01,5.232999586032380357e+00
2.500000000000000000e-01,5.651548713311636440e+00
2.600000000000000089e-01,4.846785402351180494e+00
2.700000000000000178e-01,4.691391653572676290e+00
2.800000000000000266e-01,3.126530817932969164e+00
2.899999999999999800e-01,9.019869408466152372e-02
2.999999999999999889e-01,3.375592921551302528e+00
3.099999999999999978e-01,5.742130435368026475e+00
3.200000000000000067e-01,1.593500845058111848e+00
3.300000000000000155e-01,2.155749945999864536e+01
3.400000000000000244e-01,4.424554766438446585e+00
3.500000000000000333e-01,6.969174586630853696e+01
3.599999999999999867e-01,3.554587386966689166e+01
3.699999999999999956e-01,1.783364772639780682e+01
3.800000000000000044e-01,4.976976480325554952e+00
3.900000000000000133e-01,1.001510037371181383e+01
4.000000000000000222e-01,1.163081621951395750e+00
4.100000000000000311e-01,3.767996994986309467e+00
4.199999999999999845e-01,4.851641484413011796e+00
4.299999999999999933e-01,5.031721109191672525e+01
4.400000000000000022e-01,2.478389541248399830e+00
4.500000000000000111e-01,4.508743988706582329e+00
4.600000000000000200e-01,5.244749884828955544e+00
4.700000000000000289e-01,5.709594731063162953e+00
4.799999999999999822e-01,4.103003016249958890e+00
4.899999999999999911e-01,4.664182163725452135e+00
5.000000000000000000e-01,2.252847359903578095e+00
5.100000000000000089e-01,7.973380358954740288e-01
5.200000000000000178e-01,3.875495806715480995e+00
5.300000000000000266e-01,6.442566057368165566e+00
5.400000000000000355e-01,3.976287034458750647e+00
5.500000000000000444e-01,2.075083429514608468e+01
5.600000000000000533e-01,6.613627498484812683e+00
5.700000000000000622e-01,6.207361411504217941e+00
5.799999999999999600e-01,6.063223679974961478e+00
5.899999999999999689e-01,6.603848083119075341e+00
5.999999999999999778e-01,4.310430475762955460e+00
6.099999999999999867e-01,6.678915485819698183e+00
6.199999999999999956e-01,1.023553245161329173e+01
6.300000000000000044e-01,6.320286498494846583e+00
6.400000000000000133e-01,6.947983446830991561e+00
6.500000000000000222e-01,4.535783984117189860e+00
6.600000000000000311e-01,6.261426906418808613e+00
6.700000000000000400e-01,6.343210249189091599e+00
6.800000000000000488e-01,1.151304378909909509e+01
6.900000000000000577e-01,5.234501856475853643e+00
7.000000000000000666e-01,2.113289201907188186e+01
7.099999999999999645e-01,4.708043144589423967e+00
7.199999999999999734e-01,6.099924083699080768e+01
7.299999999999999822e-01,1.132936295044583730e+01
7.399999999999999911e-01,5.037159325332444482e+00
7.500000000000000000e-01,1.953913359469233768e+01
7.600000000000000089e-01,4.627479643640898033e+00
7.700000000000000178e-01,5.754234121897512821e+00
7.800000000000000266e-01,5.551440850594175025e+00
7.900000000000000355e-01,9.257952165067161232e+00
8.000000000000000444e-01,5.207988902302923329e+00
8.100000000000000533e-01,4.461995007762731280e-02
8.200000000000000622e-01,4.456020029407811833e+00
8.300000000000000711e-01,6.097484768728342885e+00
8.399999999999999689e-01,2.635561748503117752e+00
8.499999999999999778e-01,6.122623118943722353e+00
8.599999999999999867e-01,5.870684638799465560e+00
