w,G
0.000000000000000000e+00,1.629430440643213274e+01
1.000000000000000021e-02,7.079167421098806479e+00
2.000000000000000042e-02,7.106880878393520007e+00
2.999999999999999889e-02,7.010043366710754675e+00
4.000000000000000083e-02,6.989341644596808401e+00
5.000000000000000278e-02,6.830690083967223103e+00
5.999999999999999778e-02,6.699163590812476698e+00
7.000000000000000666e-02,6.323793685921324403e+00
8.000000000000000167e-02,4.642790349115212933e+00
8.999999999999999667e-02,6.167720908732205132e+00
1.000000000000000056e-01,3.328541558315846860e+00
1.100000000000000006e-01,4.967641081214807741e+00
1.199999999999999956e-01,1.180342571116851502e+01
1.300000000000000044e-01,5.523864923168233965e+00
1.400000000000000133e-01,5.971247171076217164e+00
1.499999999999999944e-01,3.773019803569563457e+00
1.600000000000000033e-01,5.602041602811158150e+00
1.700000000000000122e-01,6.143776627774571786e+00
1.799999999999999933e-01,2.156117847957257538e+01
1.900000000000000022e-01,6.116682872559806583e+00
2.000000000000000111e-01,5.603816469838490022e+00
2.099999999999999922e-01,1.241077474561529925e+01
2.200000000000000011e-01,4.322576448359001233e+00
2.300000000000000100e-01,5.869430797694361601e+00
2.399999999999999911e-01,5.522664325124337914e+00
2.500000000000000000e-01,5.436268088610418658e+00
2.600000000000000089e-01,3.488305224813910144e-01
2.700000000000000178e-01,5.829042952112547304e+00
2.800000000000000266e-01,4.202364382880835691e+00
2.899999999999999800e-01,8.328262116709776564e+00
2.999999999999999889e-01,5.030790536062908380e+00
3.099999999999999978e-01,6.133136366186010768e+00
3.200000000000000067e-01,1.269511624594936094e+01
3.300000000000000155e-01,9.715551772803611152e-01
3.400000000000000244e-01,4.875102696618248466e+00
3.500000000000000333e-01,6.365148223333755517e+00
3.599999999999999867e-01,7.895538585889354977e+00
3.699999999999999956e-01,5.515630555047064121e+00
3.800000000000000044e-01,5.377469899424497868e+01
3.900000000000000133e-01,3.222580896929753358e+00
4.000000000000000222e-01,2.787326501674373347e+00
4.100000000000000311e-01,6.843364062767443912e+00
4.199999999999999845e-01,4.206085164925779551e+00
4.299999999999999933e-01,2.672784134345046425e+01
4.400000000000000022e-01,6.633655417793740128e+00
4.500000000000000111e-01,5.177021635078710915e+01
4.600000000000000200e-01,5.835014890855304337e+00
4.700000000000000289e-01,1.667328516167057462e+00
4.799999999999999822e-01,3.722680487318973164e+00
4.899999999999999911e-01,5.629587695465712471e+00
5.000000000000000000e-01,6.161731654972619765e+01
5.100000000000000089e-01,5.113984232289905840e+00
5.200000000000000178e-01,5.769906475510221178e+00
5.300000000000000266e-01,2.801791459792363881e+00
5.400000000000000355e-01,4.117536180581905292e+00
5.500000000000000444e-01,6.022600198140267480e+00
5.600000000000000533e-01,4.108466270902057005e+01
5.700000000000000622e-01,5.696192900702338413e+00
5.799999999999999600e-01,6.488337419072972345e+00
5.899999999999999689e-01,4.025275231161485223e+00
5.999999999999999778e-01,5.566634332590135514e+00
6.099999999999999867e-01,6.669683108667674887e+00
6.199999999999999956e-01,4.753512850617479302e+00
6.300000000000000044e-01,5.046951949321189623e+00
6.400000000000000133e-01,6.885781362320336996e+00
6.500000000000000222e-01,6.492103488804206179e+00
6.600000000000000311e-01,7.757443956351391279e+00
6.700000000000000400e-01,5.615182126843524024e+00
6.800000000000000488e-01,6.241524458664354569e+00
6.900000000000000577e-01,1.980041964516886566e+01
7.000000000000000666e-01,2.563851787527760884e+00
7.099999999999999645e-01,2.154791337325344669e-01
7.199999999999999734e-01,1.246954474994539819e+00
7.299999999999999822e-01,1.719479323506344137e+00
7.399999999999999911e-01,4.240040714248571874e-01
7.500000000000000000e-01,5.144339722483861621e+00
7.600000000000000089e-01,5.202155180784070687e+00
7.700000000000000178e-01,4.272489825726053070e+00
7.800000000000000266e-01,5.080202640555254945e+00
7.900000000000000355e-01,3.761327160705561390e+00
8.000000000000000444e-01,1.320595814560563497e+01
8.100000000000000533e-01,5.972138239523218317e+00
8.200000000000000622e-01,1.683298550320025511e+00
8.300000000000000711e-01,4.450588556432126808e+00
8.399999999999999689e-01,6.096833051365403655e+00
8.499999999999999778e-01,5.877187641891913117e+00
8.599999999999999867e-01,1.224135800644050676e+01
8.699999999999999956e-01,5.322066348470824160e+00
8.800000000000000044e-01,6.201479852706767382e+00
8.900000000000000133e-01,6.801337589504820258e+00
9.000000000000000222e-01,6.067381739726706691e+00
9.100000000000000311e-01,6.355922034397666565e+00
9.200000000000000400e-01,2.617191225303482360e-01
9.300000000000000488e-01,6.166263838299362199e+00
9.400000000000000577e-01,6.374595734811283165e+00
9.500000000000000666e-01,6.284108655881198713e-01
