w,G
0.000000000000000000e+00,1.206032614862487407e+01
1.000000000000000021e-02,7.091503614844222980e+00
2.000000000000000042e-02,7.043994551244697533e+00
2.999999999999999889e-02,7.031499753260081143e+00
4.000000000000000083e-02,6.770241760633725292e+00
5.000000000000000278e-02,6.552740401932263481e+00
5.999999999999999778e-02,6.794836458452154559e+00
7.000000000000000666e-02,5.972587976237754503e+00
8.000000000000000167e-02,5.643893821370904895e+00
8.999999999999999667e-02,3.050396420943346065e+00
1.000000000000000056e-01,5.483745438083651891e+00
1.100000000000000006e-01,2.462734634680513235e+00
1.199999999999999956e-01,3.677658644669723920e+00
1.300000000000000044e-01,4.934900854146462734e+00
1.400000000000000133e-01,1.322492184135765392e+01
1.499999999999999944e-01,5.193797143121822835e+00
1.600000000000000033e-01,3.867670602881049025e+00
1.700000000000000122e-01,2.569226166347816420e+00
1.799999999999999933e-01,6.725062912281994265e+00
1.900000000000000022e-01,1.330461085753553974e+01
2.000000000000000111e-01,6.854875442844254430e+00
2.099999999999999922e-01,6.786373558351057156e+00
2.200000000000000011e-01,4.802980434137912091e+00
2.300000000000000100e-01,1.255109368803334347e-01
2.399999999999999911e-01,6.582179475159796844e+00
2.500000000000000000e-01,5.234712072426787266e+00
2.600000000000000089e-01,7.669376029490422297e+00
2.700000000000000178e-01,4.690698429879447851e+00
2.800000000000000266e-01,5.343873043756671493e+00
2.899999999999999800e-01,4.575091794727549122e+00
2.999999999999999889e-01,8.566847026998482661e+00
3.099999999999999978e-01,3.289033933546026134e-02
3.200000000000000067e-01,4.905504491997554339e+01
3.300000000000000155e-01,7.294800841858022800e+00
3.400000000000000244e-01,1.119736304596120569e+01
3.500000000000000333e-01,4.575111615364665596e+00
3.599999999999999867e-01,4.026094501218483224e+00
3.699999999999999956e-01,4.404749762477407238e+00
3.800000000000000044e-01,1.079851256796338710e+01
3.900000000000000133e-01,1.044767906581338224e+00
4.000000000000000222e-01,8.819569331801496048e+00
4.100000000000000311e-01,2.552807349012060634e+00
4.199999999999999845e-01,4.295243781301483210e+00
4.299999999999999933e-01,3.447263100235591082e+01
4.400000000000000022e-01,6.344824556720973341e+00
4.500000000000000111e-01,6.217030388272776875e+00
4.600000000000000200e-01,6.464046666610903102e+00
4.700000000000000289e-01,2.848273809745185847e+00
4.799999999999999822e-01,5.965739713402950173e+00
4.899999999999999911e-01,3.094236823004635761e-01
5.000000000000000000e-01,5.599849145435799258e+00
5.100000000000000089e-01,6.339609659007585662e+00
5.200000000000000178e-01,3.229989626750656484e+00
5.300000000000000266e-01,6.743665134036371356e+00
5.400000000000000355e-01,6.071342837421704886e+00
5.500000000000000444e-01,1.137338830117713151e+01
5.600000000000000533e-01,6.943311345917644317e+00
5.700000000000000622e-01,6.310819409913163369e+00
5.799999999999999600e-01,5.308056869874937522e-01
5.899999999999999689e-01,6.434067287686076497e+00
5.999999999999999778e-01,6.409377374504199310e+00
6.099999999999999867e-01,6.129157181582947977e+00
6.199999999999999956e-01,6.653646359495816398e+00
6.300000000000000044e-01,3.976502495654595748e+01
6.400000000000000133e-01,6.839450587519267266e+00
6.500000000000000222e-01,5.921116011572850724e+00
6.600000000000000311e-01,6.630963785818656753e+00
6.700000000000000400e-01,4.435619505115719896e+00
6.800000000000000488e-01,4.650630673273268734e+00
6.900000000000000577e-01,5.486068791922116716e+00
7.000000000000000666e-01,4.574422945552418796e+00
7.099999999999999645e-01,4.243313993848980559e+00
7.199999999999999734e-01,7.036691144088945693e-01
7.299999999999999822e-01,2.076026081605939488e-01
7.399999999999999911e-01,5.781531113816381406e+00
7.500000000000000000e-01,2.720193382444156427e+01
7.600000000000000089e-01,5.871023196825297497e+00
7.700000000000000178e-01,8.778650263079159632e-01
7.800000000000000266e-01,5.540003221216438511e+00
7.900000000000000355e-01,6.104550614350687354e+00
8.000000000000000444e-01,1.433338487197181488e+00
8.100000000000000533e-01,4.590874885862204380e+00
8.200000000000000622e-01,4.228711113252965781e+00
8.300000000000000711e-01,5.687912273691996923e+00
8.399999999999999689e-01,4.365312940992116530e+00
8.499999999999999778e-01,1.417823296076209383e-01
8.599999999999999867e-01,5.813052106409363873e+00
8.699999999999999956e-01,6.156175804947016772e+00
8.800000000000000044e-01,1.476932142765460476e+00
8.900000000000000133e-01,5.692828903225105819e+00
9.000000000000000222e-01,6.243795947040503336e+00
9.100000000000000311e-01,2.882647471795490901e+01
9.200000000000000400e-01,2.210126146404247649e+00
9.300000000000000488e-01,6.227691737765916002e+00
9.400000000000000577e-01,4.732758215804122415e+01
9.500000000000000666e-01,5.916363116558670754e+00
9.599999999999999645e-01,6.020551467296145098e+00
9.699999999999999734e-01,1.433639033294445753e+01
9.799999999999999822e-01,6.242565922860769945e+00
9.899999999999999911e-01,5.718440385156098316e+00
1.000000000000000000e+00,3.757765663540687751e+00
