w,G
0.000000000000000000e+00,2.390416755908297830e+01
1.000000000000000021e-02,7.207743765888223741e+00
2.000000000000000042e-02,7.125801310981263903e+00
2.999999999999999889e-02,6.931825944960820607e+00
4.000000000000000083e-02,7.030154537003590498e+00
5.000000000000000278e-02,6.807443364309886391e+00
5.999999999999999778e-02,6.379127588988990460e+00
7.000000000000000666e-02,5.428678627207879970e+00
8.000000000000000167e-02,4.150910856989838749e+00
8.999999999999999667e-02,4.832455417936023068e+00
1.000000000000000056e-01,5.659355845822224396e+00
1.100000000000000006e-01,1.611267131822995857e+00
1.199999999999999956e-01,4.672787270979394947e+00
1.300000000000000044e-01,4.463006226822227696e+00
1.400000000000000133e-01,5.667516251528506466e+00
1.499999999999999944e-01,5.204904016771816799e+00
1.600000000000000033e-01,1.009382292542575073e+02
1.700000000000000122e-01,6.159737681073035098e+00
1.799999999999999933e-01,6.495738602262648875e+00
1.900000000000000022e-01,1.037785601421705506e+00
2.000000000000000111e-01,9.080727214507696488e+00
2.099999999999999922e-01,6.373912700488280514e+00
2.200000000000000011e-01,6.195412600268629610e+00
2.300000000000000100e-01,7.533824161892022087e-01
2.399999999999999911e-01,5.886212367423938829e+00
2.500000000000000000e-01,6.306858948750715399e+00
2.600000000000000089e-01,2.545191108674345060e+01
2.700000000000000178e-01,5.887590145045910717e+00
2.800000000000000266e-01,6.618545851263522906e+00
2.899999999999999800e-01,1.511909747267261039e+01
2.999999999999999889e-01,5.749361862081098451e+00
3.099999999999999978e-01,2.402158766740598139e+00
3.200000000000000067e-01,1.321541150002075682e+01
3.300000000000000155e-01,3.976383757180391942e+00
3.400000000000000244e-01,2.908559528848970288e+00
3.500000000000000333e-01,5.752342572930135844e+01
3.599999999999999867e-01,3.548344635106364997e+00
3.699999999999999956e-01,5.077192770332588090e-01
3.800000000000000044e-01,5.229361573536561991e+01
3.900000000000000133e-01,9.071466631150469695e+00
4.000000000000000222e-01,1.704545108235104856e-01
4.100000000000000311e-01,1.332303664488596606e-01
4.199999999999999845e-01,7.634385242535308258e+00
4.299999999999999933e-01,5.555376310092086101e+00
4.400000000000000022e-01,9.784253015897046879e+00
4.500000000000000111e-01,3.879026819466686593e+00
4.600000000000000200e-01,6.139342045335761000e+00
4.700000000000000289e-01,1.954830415454226422e+00
4.799999999999999822e-01,2.035513094655827526e-01
4.899999999999999911e-01,1.780591283191469643e+00
5.000000000000000000e-01,9.147815119325997557e+00
5.100000000000000089e-01,6.533195153131518218e+00
5.200000000000000178e-01,1.605501680923089225e+01
5.300000000000000266e-01,3.280650736712163962e+01
5.400000000000000355e-01,6.514412471753576739e+00
5.500000000000000444e-01,5.741009521588509301e+00
5.600000000000000533e-01,5.042408314876338338e+00
5.700000000000000622e-01,6.477644250168562046e+00
5.799999999999999600e-01,3.948415023337391361e+00
5.899999999999999689e-01,2.417701556615128311e+00
5.999999999999999778e-01,6.659756237203360740e+00
6.099999999999999867e-01,5.540590013758459165e+00
6.199999999999999956e-01,5.586849921455988799e+00
6.300000000000000044e-01,6.807703857746353115e+00
6.400000000000000133e-01,1.725327535359633568e+00
6.500000000000000222e-01,6.555373033914792202e+00
6.600000000000000311e-01,6.531723201463782935e+00
6.700000000000000400e-01,4.915660327841045785e+00
6.800000000000000488e-01,3.400674957828699885e+00
6.900000000000000577e-01,7.543828193686860573e+01
7.000000000000000666e-01,5.368418763224797274e+00
7.099999999999999645e-01,1.372775833041060594e+02
7.199999999999999734e-01,5.409178308585612882e+00
7.299999999999999822e-01,5.143836840680325651e+00
7.399999999999999911e-01,1.540155533429005130e-01
7.500000000000000000e-01,5.966784919759643202e+00
7.600000000000000089e-01,4.829637281548681216e+00
7.700000000000000178e-01,8.525367668982779534e+00
7.800000000000000266e-01,3.905937112941342271e+00
7.900000000000000355e-01,6.125346020215028275e+00
8.000000000000000444e-01,7.895455806206779670e+00
8.100000000000000533e-01,6.254945817856483181e+00
8.200000000000000622e-01,6.172682407385857495e+00
8.300000000000000711e-01,9.523200824745606807e-01
8.399999999999999689e-01,3.691344024368223398e+00
8.499999999999999778e-01,6.224147281271957155e+00
8.599999999999999867e-01,6.362156262358857894e+00
8.699999999999999956e-01,9.145632840451630940e+00
8.800000000000000044e-01,6.090959990575716354e+00
8.900000000000000133e-01,6.306084279410562488e+00
9.000000000000000222e-01,2.734605308758518927e+00
9.100000000000000311e-01,1.152083392319866562e+00
9.200000000000000400e-01,6.037876602408916327e+00
9.300000000000000488e-01,6.472882461975342672e+00
9.400000000000000577e-01,5.720547573264757091e+01
9.500000000000000666e-01,6.191440088021448851e+00
9.599999999999999645e-01,5.993947252872950493e+00
9.699999999999999734e-01,6.022348690405911498e+01
9.799999999999999822e-01,5.542201381118559311e+00
9.899999999999999911e-01,6.403448859764204748e+00
1.000000000000000000e+00,1.916935576247703166e+00
1.010000000000000009e+00,5.817971978949211476e+00
1.020000000000000018e+00,6.160665898155786024e+00
1.030000000000000027e+00,5.185692735162609779e+01
1.040000000000000036e+00,6.177566701797498894e+00
1.050000000000000044e+00,1.481556923511595514e+01
1.060000000000000053e+00,6.096022229704497697e+00
1.070000000000000062e+00,5.920688353308325880e+00
1.080000000000000071e+00,6.094479092678918519e+00
1.090000000000000080e+00,5.879936803923505373e+00
1.100000000000000089e+00,1.686685024059103588e+00
1.110000000000000098e+00,6.076611415599193045e+00
1.120000000000000107e+00,5.003993706200601821e+01
1.130000000000000115e+00,5.829826190815317943e+00
1.140000000000000124e+00,4.212647080667743893e+01
1.150000000000000133e+00,5.289807337027863099e+00
1.159999999999999920e+00,5.279644774800617668e+00
1.169999999999999929e+00,4.875978020032157190e+00
1.179999999999999938e+00,1.642829013052542031e+00
1.189999999999999947e+00,3.224435457952723461e+00
1.199999999999999956e+00,4.762108159861710099e+00
1.209999999999999964e+00,2.799830795229858449e+00
1.219999999999999973e+00,2.392915315969720957e+00
1.229999999999999982e+00,4.714500308680220186e+00
1.239999999999999991e+00,4.415662435977714573e+00
1.250000000000000000e+00,2.110370580818070607e+01
1.260000000000000009e+00,4.136299808198148575e+00
1.270000000000000018e+00,4.205975700531539907e+00
1.280000000000000027e+00,1.126291052270657111e+01
1.290000000000000036e+00,5.466642801385988903e+00
1.300000000000000044e+00,1.781393319864454483e+00
1.310000000000000053e+00,3.208854968655850293e+00
1.320000000000000062e+00,5.310633421467984228e+00
1.330000000000000071e+00,5.424522551335531517e+00
1.340000000000000080e+00,1.198065114383835805e+01
1.350000000000000089e+00,5.160972280112545718e+00
1.360000000000000098e+00,1.766644076075247094e+00
1.370000000000000107e+00,1.331123628592200347e+00
1.380000000000000115e+00,5.206505382477944366e+00
1.390000000000000124e+00,4.557811358254090450e+00
1.400000000000000133e+00,1.004874611714251387e+01
1.409999999999999920e+00,5.367799305262155762e+00
1.419999999999999929e+00,5.242494165737502598e+00
1.429999999999999938e+00,4.737421690596161028e+01
1.439999999999999947e+00,5.058349730359971375e+00
1.449999999999999956e+00,5.428805264377696282e+00
1.459999999999999964e+00,2.484562195610436675e+01
1.469999999999999973e+00,5.537302696920304079e+00
1.479999999999999982e+00,7.379514913585964564e+00
1.489999999999999991e+00,5.511186181137246010e+00
1.500000000000000000e+00,5.564355208329720526e+00
1.510000000000000009e+00,3.705249390900473827e+01
1.520000000000000018e+00,5.387053676243501954e+00
1.530000000000000027e+00,5.418791069347765443e+00
1.540000000000000036e+00,5.092152150803753941e+00
1.550000000000000044e+00,5.405081501119811449e+00
1.560000000000000053e+00,1.856033604767489686e+00
1.570000000000000062e+00,5.448605419448798060e+00
1.580000000000000071e+00,5.238249266047585451e+00
1.590000000000000080e+00,5.056151160047391180e+00
1.600000000000000089e+00,5.440553910680762328e+00
1.610000000000000098e+00,5.195107344705432340e+00
1.620000000000000107e+00,5.424305875532845711e+00
1.630000000000000115e+00,5.341781214781430975e+00
1.640000000000000124e+00,8.290637929170273424e+00
1.650000000000000133e+00,5.257734176813366744e+00
1.660000000000000142e+00,5.234890889078176457e+00
1.669999999999999929e+00,5.163125115226598894e+00
1.679999999999999938e+00,4.827158916372058961e+00
1.689999999999999947e+00,5.183540617911853943e+00
1.699999999999999956e+00,4.633339510841240738e+00
1.709999999999999964e+00,4.568629006746466104e+00
1.719999999999999973e+00,3.746531981896283892e+00
1.729999999999999982e+00,1.666186964161084916e+00
1.739999999999999991e+00,4.625515412777391866e+00
1.750000000000000000e+00,3.013725032944014615e+01
1.760000000000000009e+00,7.726180480175676735e+01
1.770000000000000018e+00,4.015166423040539279e+00
1.780000000000000027e+00,3.755103810655702201e+00
1.790000000000000036e+00,2.008215956714860795e+01
1.800000000000000044e+00,2.772373756007016077e+00
1.810000000000000053e+00,4.263399572261477921e+00
1.820000000000000062e+00,8.406623376202855269e-01
1.830000000000000071e+00,9.781473298071057254e-01
1.840000000000000080e+00,4.267629122156012755e+00
1.850000000000000089e+00,3.450193701717123584e+00
1.860000000000000098e+00,3.149208406732173504e+00
1.870000000000000107e+00,4.304983770051927117e+00
1.880000000000000115e+00,4.217703615065597234e+01
1.890000000000000124e+00,4.092711243417948452e+00
1.900000000000000133e+00,4.511737825898183729e+01
1.910000000000000142e+00,1.985657328369068386e+00
1.919999999999999929e+00,4.455522575709744970e+00
1.929999999999999938e+00,3.830785120833786639e+00
1.939999999999999947e+00,7.306696577535478632e+00
1.949999999999999956e+00,4.009810922535420374e+00
1.959999999999999964e+00,4.488642041949356454e+00
1.969999999999999973e+00,2.281818041361190552e+01
1.979999999999999982e+00,4.547404581628380349e+00
1.989999999999999991e+00,3.906284638202165205e+00
2.000000000000000000e+00,9.492495711409277837e-01
2.010000000000000231e+00,4.344190109292830115e+00
2.020000000000000018e+00,4.359766626050981309e+00
2.030000000000000249e+00,3.159540678778779199e+00
2.040000000000000036e+00,4.666639235360063864e+00
2.049999999999999822e+00,9.937360101007135427e+01
2.060000000000000053e+00,4.577402439394189670e+00
2.069999999999999840e+00,1.492189086005989207e+00
