w,G
0.000000000000000000e+00,3.128256445201682823e+01
1.000000000000000021e-02,7.154768559349331980e+00
2.000000000000000042e-02,7.107562824329483497e+00
2.999999999999999889e-02,7.048681064300277299e+00
4.000000000000000083e-02,6.842699309124940399e+00
5.000000000000000278e-02,6.779189434405773262e+00
5.999999999999999778e-02,6.747934199448026860e+00
7.000000000000000666e-02,5.983799750296894260e+00
8.000000000000000167e-02,5.203581979975861138e+00
8.999999999999999667e-02,4.925998672486775476e+00
1.000000000000000056e-01,3.052977397437277141e+00
1.100000000000000006e-01,6.136543208765008472e+00
1.199999999999999956e-01,7.229558716932761087e+00
1.300000000000000044e-01,6.415829565131568657e+00
1.400000000000000133e-01,9.409151946662838384e+00
1.499999999999999944e-01,6.093553251580876129e+00
1.600000000000000033e-01,4.699501318534368366e+00
1.700000000000000122e-01,5.833313235910002614e-01
1.799999999999999933e-01,4.774921117476598198e+00
1.900000000000000022e-01,5.943992476395584923e+00
2.000000000000000111e-01,3.864048886517508663e+00
2.099999999999999922e-01,6.101696000450169244e+00
2.200000000000000011e-01,4.525350147286444358e-01
2.300000000000000100e-01,4.606139459271188841e+00
2.399999999999999911e-01,6.141985518888034790e+00
2.500000000000000000e-01,2.947059230307927713e+00
2.600000000000000089e-01,5.068346453736529256e+00
2.700000000000000178e-01,6.298906212921705716e+00
2.800000000000000266e-01,3.965279791684776178e+00
2.899999999999999800e-01,5.826832011830969549e+00
2.999999999999999889e-01,1.342680613773882037e+01
3.099999999999999978e-01,5.353762342384819739e+00
3.200000000000000067e-01,5.224562027733957947e+00
3.300000000000000155e-01,1.625715894625375668e+01
3.400000000000000244e-01,1.311335783567746827e+00
3.500000000000000333e-01,4.954255460388650611e+00
3.599999999999999867e-01,5.858561780894931958e-01
3.699999999999999956e-01,4.276464020786340470e+00
3.800000000000000044e-01,1.058523692347888812e+01
3.900000000000000133e-01,3.642973047554018251e+01
4.000000000000000222e-01,6.116475698997870580e+00
4.100000000000000311e-01,3.670580801408706861e+01
4.199999999999999845e-01,6.682673467195698880e-01
4.299999999999999933e-01,5.785156758826564882e+00
4.400000000000000022e-01,4.649699414138289910e+01
4.500000000000000111e-01,1.333612201622805804e+00
4.600000000000000200e-01,3.437288296766469298e+00
4.700000000000000289e-01,3.920949511858275560e+00
4.799999999999999822e-01,4.033941687880745697e+00
4.899999999999999911e-01,2.484897335368475790e+00
5.000000000000000000e-01,3.781427758757008206e+00
5.100000000000000089e-01,5.219556462401409025e-01
5.200000000000000178e-01,6.943692457729688350e+00
5.300000000000000266e-01,4.639532358253067912e+01
5.400000000000000355e-01,6.328496125398193506e+00
5.500000000000000444e-01,6.514218675755756749e+00
5.600000000000000533e-01,5.877103266872829579e+00
5.700000000000000622e-01,2.557166926671492924e+00
5.799999999999999600e-01,6.071212276928143581e+00
5.899999999999999689e-01,6.798009795913031006e+00
