w,G
0.000000000000000000e+00,3.092944967992694671e+01
1.000000000000000021e-02,7.040715317486840874e+00
2.000000000000000042e-02,7.078218572505087458e+00
2.999999999999999889e-02,6.925803213498665123e+00
4.000000000000000083e-02,6.899557705434055777e+00
5.000000000000000278e-02,6.997008704919739586e+00
5.999999999999999778e-02,6.422341757848365695e+00
7.000000000000000666e-02,6.413413925665770066e+00
8.000000000000000167e-02,6.124101456375771413e+00
8.999999999999999667e-02,3.390966674470792697e+00
1.000000000000000056e-01,1.678096543514183470e+00
1.100000000000000006e-01,5.427174240898807511e+00
1.199999999999999956e-01,5.383552584577580902e+00
1.300000000000000044e-01,4.862332852527726956e+00
1.400000000000000133e-01,4.324879338276788054e+00
1.499999999999999944e-01,3.471722845838675742e+00
1.600000000000000033e-01,4.576223642922542467e+00
1.700000000000000122e-01,5.269393253202261818e+00
1.799999999999999933e-01,5.271626457158387069e+00
1.900000000000000022e-01,3.608927679154097845e+00
2.000000000000000111e-01,5.020953473500632036e+00
2.099999999999999922e-01,5.196218587334943351e+00
2.200000000000000011e-01,5.602764188484131935e+00
2.300000000000000100e-01,5.710408893192819413e+00
2.399999999999999911e-01,3.339402536692615442e+00
2.500000000000000000e-01,5.239741175975431098e+00
2.600000000000000089e-01,2.892764103731799263e+00
2.700000000000000178e-01,2.213812997192083465e+00
2.800000000000000266e-01,5.446100512805424287e+00
2.899999999999999800e-01,2.619768202201688378e+00
2.999999999999999889e-01,3.210670719142258989e+00
3.099999999999999978e-01,5.617342122922737602e+00
3.200000000000000067e-01,7.082791909506823025e+00
3.300000000000000155e-01,4.081935212269577562e+01
3.400000000000000244e-01,7.063758055681049086e+00
3.500000000000000333e-01,1.239072577847822876e+00
3.599999999999999867e-01,6.339398375700046273e+01
3.699999999999999956e-01,5.961316511288938358e+00
3.800000000000000044e-01,6.136647639915680408e+00
3.900000000000000133e-01,1.538390748167716815e+00
4.000000000000000222e-01,4.794133550576237468e+00
4.100000000000000311e-01,1.289329190748101928e+00
4.199999999999999845e-01,6.649783931494304134e-01
4.299999999999999933e-01,2.405523590430101777e+01
4.400000000000000022e-01,1.751020005539158220e+01
4.500000000000000111e-01,1.918276811008877925e+00
4.600000000000000200e-01,3.269707613171384253e+00
4.700000000000000289e-01,6.523666618909618187e-02
4.799999999999999822e-01,1.392682371137884267e+01
4.899999999999999911e-01,6.022741195660533009e+00
5.000000000000000000e-01,7.639884364598355404e+00
5.100000000000000089e-01,1.221626468318335768e+01
5.200000000000000178e-01,4.632309184341190900e+01
5.300000000000000266e-01,4.285766806572033349e-01
5.400000000000000355e-01,3.773110278555450670e+00
5.500000000000000444e-01,6.229615207220752460e+00
5.600000000000000533e-01,2.132176723109613370e+00
5.700000000000000622e-01,5.291166042379368051e+00
5.799999999999999600e-01,6.658057382567541538e+00
5.899999999999999689e-01,1.649615746734476573e+01
5.999999999999999778e-01,5.667417531917882556e+00
6.099999999999999867e-01,6.672422314038390923e+00
6.199999999999999956e-01,6.394455636836269719e+01
6.300000000000000044e-01,5.991813553866581543e+00
6.400000000000000133e-01,5.353187541013799233e+00
6.500000000000000222e-01,2.118580503167247553e+00
6.600000000000000311e-01,5.575853917500635859e+00
6.700000000000000400e-01,5.422835861112456968e+00
6.800000000000000488e-01,5.253422086886687659e+00
6.900000000000000577e-01,4.250534646087738899e+00
7.000000000000000666e-01,5.781837793165772510e+00
7.099999999999999645e-01,4.043462301769683620e+01
7.199999999999999734e-01,2.494249901410661607e+00
7.299999999999999822e-01,4.959082359231139492e+00
7.399999999999999911e-01,1.809548084187250439e+00
7.500000000000000000e-01,5.637626554845697768e+01
7.600000000000000089e-01,5.471461805354787877e+00
7.700000000000000178e-01,4.210250917949235117e+00
7.800000000000000266e-01,3.365689603295815857e+01
7.900000000000000355e-01,4.653446940551034805e-01
8.000000000000000444e-01,2.895907789789341713e+00
8.100000000000000533e-01,5.070011319228648006e+00
8.200000000000000622e-01,6.119762236945576639e+00
8.300000000000000711e-01,7.285051084773898067e-01
